## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/bam/KI3-ATAC.sorted.bam] OUTPUT=results/bam/KI3-ATAC.markdup.bam METRICS_FILE=results/qc/picard/KI3-ATAC.markdup_metrics.txt REMOVE_DUPLICATES=false TMP_DIR=[tmp/KI3-ATAC] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 18 10:52:26 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
KI3-ATAC	1553843	20768462	0	0	453188	2380711	1431113	0.121015	190390225

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.070049	16562489	0	17697112
2.0	2.029515	1519144	1009905	616615
3.0	2.889825	224851	152835	38746
4.0	3.661226	47041	28425	11274
5.0	4.352908	13843	5621	6414
6.0	4.973108	5780	1163	4025
7.0	5.529213	3213	218	2735
8.0	6.027848	2136	62	1960
9.0	6.474952	1540	6	1487
10.0	6.87585	1143	5	1079
11.0	7.235317	949	3	916
12.0	7.557636	736	2	693
13.0	7.846644	643	5	633
14.0	8.105785	508	0	468
15.0	8.338146	426	0	405
16.0	8.546493	385	0	389
17.0	8.733308	296	0	279
18.0	8.900817	268	1	251
19.0	9.051015	206	0	196
20.0	9.185691	195	0	202
21.0	9.306449	176	0	171
22.0	9.414727	167	0	150
23.0	9.511815	147	0	151
24.0	9.59887	133	0	128
25.0	9.676928	101	0	82
26.0	9.746919	94	0	85
27.0	9.809677	75	0	87
28.0	9.865949	66	0	56
29.0	9.916406	77	0	78
30.0	9.961648	53	0	53
31.0	10.002215	68	0	60
32.0	10.03859	54	0	56
33.0	10.071205	54	0	57
34.0	10.10045	52	0	46
35.0	10.126672	37	0	39
36.0	10.150185	30	0	22
37.0	10.171267	25	0	35
38.0	10.190171	40	0	38
39.0	10.207121	37	0	34
40.0	10.22232	36	0	28
41.0	10.235948	24	0	17
42.0	10.248167	13	0	19
43.0	10.259124	22	0	22
44.0	10.268948	22	0	19
45.0	10.277757	11	0	17
46.0	10.285656	17	0	19
47.0	10.292738	20	0	15
48.0	10.299089	20	0	12
49.0	10.304783	18	0	15
50.0	10.309889	7	0	10
51.0	10.314467	13	0	14
52.0	10.318572	16	0	14
53.0	10.322252	7	0	12
54.0	10.325553	11	0	11
55.0	10.328512	13	0	10
56.0	10.331165	9	0	7
57.0	10.333545	5	0	7
58.0	10.335678	11	0	6
59.0	10.337591	5	0	7
60.0	10.339306	9	0	5
61.0	10.340844	7	0	4
62.0	10.342223	1	0	1
63.0	10.343459	1	0	0
64.0	10.344568	5	0	8
65.0	10.345562	6	0	10
66.0	10.346454	6	0	5
67.0	10.347253	7	0	4
68.0	10.34797	3	0	4
69.0	10.348612	3	0	7
70.0	10.349188	4	0	4
71.0	10.349705	6	0	6
72.0	10.350168	2	0	2
73.0	10.350584	3	0	0
74.0	10.350956	2	0	3
75.0	10.35129	5	0	5
76.0	10.35159	6	0	2
77.0	10.351858	4	0	6
78.0	10.352099	3	0	1
79.0	10.352315	1	0	2
80.0	10.352508	2	0	2
