## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/bam/WT1-ATAC.sorted.bam] OUTPUT=results/bam/WT1-ATAC.markdup.bam METRICS_FILE=results/qc/picard/WT1-ATAC.markdup_metrics.txt REMOVE_DUPLICATES=false TMP_DIR=[tmp/WT1-ATAC] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 18 10:32:22 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WT1-ATAC	1058701	16838710	0	0	257853	1846242	1178136	0.113724	178285734

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.071736	13546257	0	14464462
2.0	2.046883	1202797	807380	483374
3.0	2.934144	179619	127573	24180
4.0	3.741441	39272	26458	6854
5.0	4.475981	11465	6166	3747
6.0	5.14432	4539	1537	2414
7.0	5.752426	2211	383	1623
8.0	6.305726	1346	119	1126
9.0	6.80916	913	34	852
10.0	7.267222	701	12	654
11.0	7.684001	507	5	477
12.0	8.063218	387	3	353
13.0	8.408258	355	0	350
14.0	8.722201	280	2	272
15.0	9.007851	248	0	237
16.0	9.267756	179	1	173
17.0	9.504237	177	1	160
18.0	9.719406	140	1	133
19.0	9.915182	107	1	112
20.0	10.093315	100	0	93
21.0	10.255393	85	0	83
22.0	10.402863	84	1	77
23.0	10.537043	66	1	64
24.0	10.65913	57	0	52
25.0	10.770214	48	0	54
26.0	10.871287	52	1	38
27.0	10.96325	36	1	39
28.0	11.046925	35	1	34
29.0	11.123059	42	0	30
30.0	11.192332	19	0	23
31.0	11.255361	24	0	25
32.0	11.31271	25	0	21
33.0	11.36489	18	0	21
34.0	11.412368	17	0	18
35.0	11.455566	22	1	16
36.0	11.494871	15	0	15
37.0	11.530634	15	0	12
38.0	11.563174	11	0	11
39.0	11.592781	12	0	12
40.0	11.61972	14	0	18
41.0	11.644231	11	0	6
42.0	11.666533	8	0	9
43.0	11.686825	7	0	9
44.0	11.705288	9	0	5
45.0	11.722087	5	0	5
46.0	11.737372	5	0	7
47.0	11.75128	7	1	6
48.0	11.763934	4	0	5
49.0	11.775448	8	0	5
50.0	11.785924	3	0	5
51.0	11.795456	4	0	10
52.0	11.804129	5	0	1
53.0	11.81202	7	0	3
54.0	11.8192	4	0	7
55.0	11.825733	6	0	3
56.0	11.831677	1	0	4
57.0	11.837085	5	0	3
58.0	11.842006	2	0	2
59.0	11.846484	3	0	0
60.0	11.850557	2	0	3
61.0	11.854264	2	0	2
62.0	11.857637	1	0	2
63.0	11.860706	3	0	0
64.0	11.863498	2	0	5
65.0	11.866038	3	0	2
66.0	11.86835	4	0	1
67.0	11.870453	4	0	6
68.0	11.872367	4	0	4
69.0	11.874108	4	0	1
70.0	11.875692	0	0	1
71.0	11.877134	0	0	0
72.0	11.878445	2	0	1
73.0	11.879639	0	0	0
74.0	11.880725	0	0	0
75.0	11.881713	0	0	0
76.0	11.882612	1	0	1
77.0	11.883429	0	0	0
78.0	11.884174	0	0	2
79.0	11.884851	1	0	2
80.0	11.885467	2	0	1
