## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/bam/PAZ2-ATAC.sorted.bam] OUTPUT=results/bam/PAZ2-ATAC.markdup.bam METRICS_FILE=results/qc/picard/PAZ2-ATAC.markdup_metrics.txt REMOVE_DUPLICATES=false TMP_DIR=[tmp/PAZ2-ATAC] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 18 10:34:18 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
PAZ2-ATAC	1264018	20113164	0	0	435765	2436444	1172781	0.127949	135557461

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.057446	16012964	0	16961918
2.0	1.969079	1375431	869463	598808
3.0	2.755006	190984	114768	49872
4.0	3.432561	42876	18675	18782
5.0	4.016687	15633	3399	11011
6.0	4.520267	8534	617	7307
7.0	4.954408	5459	119	5104
8.0	5.328685	4084	31	3915
9.0	5.651352	3005	8	2934
10.0	5.929526	2488	3	2357
11.0	6.169343	1954	4	1867
12.0	6.376091	1576	0	1530
13.0	6.55433	1281	0	1231
14.0	6.707992	1064	0	1035
15.0	6.840465	974	1	920
16.0	6.954671	763	0	735
17.0	7.05313	669	0	640
18.0	7.138011	592	0	583
19.0	7.211189	559	0	553
20.0	7.274275	520	0	487
21.0	7.328663	410	0	381
22.0	7.375551	357	0	358
23.0	7.415974	334	0	332
24.0	7.450822	305	0	296
25.0	7.480866	265	0	241
26.0	7.506766	216	0	215
27.0	7.529096	220	0	208
28.0	7.548346	215	0	208
29.0	7.564942	184	0	191
30.0	7.579249	177	0	154
31.0	7.591583	175	0	163
32.0	7.602217	128	0	118
33.0	7.611384	117	0	125
34.0	7.619288	118	0	129
35.0	7.626101	121	0	117
36.0	7.631975	112	0	103
37.0	7.637039	83	0	80
38.0	7.641405	96	0	94
39.0	7.645169	85	0	80
40.0	7.648413	75	0	67
41.0	7.651211	61	0	69
42.0	7.653622	68	0	66
43.0	7.655701	67	0	62
44.0	7.657494	67	0	70
45.0	7.659039	68	0	72
46.0	7.660371	57	0	51
47.0	7.66152	48	0	52
48.0	7.66251	44	0	35
49.0	7.663363	43	0	32
50.0	7.664099	45	0	45
51.0	7.664734	41	0	40
52.0	7.66528	38	0	37
53.0	7.665752	31	0	36
54.0	7.666158	41	0	35
55.0	7.666509	30	0	19
56.0	7.666811	20	0	24
57.0	7.667072	29	0	31
58.0	7.667296	23	0	19
59.0	7.66749	20	0	28
60.0	7.667657	28	0	22
61.0	7.6678	26	0	24
62.0	7.667924	18	0	16
63.0	7.668031	22	0	26
64.0	7.668124	20	0	25
65.0	7.668203	16	0	17
66.0	7.668272	24	0	11
67.0	7.668331	14	0	9
68.0	7.668382	12	0	18
69.0	7.668425	12	0	12
70.0	7.668463	17	0	15
71.0	7.668496	12	0	23
72.0	7.668524	22	0	16
73.0	7.668548	20	0	20
74.0	7.668569	16	0	15
75.0	7.668587	19	0	9
76.0	7.668603	8	0	12
77.0	7.668616	17	0	15
78.0	7.668628	10	0	8
79.0	7.668638	4	0	7
80.0	7.668646	2	0	8
81.0	7.668654	17	0	11
82.0	7.66866	8	0	9
83.0	7.668666	7	0	13
84.0	7.66867	8	0	2
85.0	7.668674	10	0	11
86.0	7.668678	12	0	9
87.0	7.668681	7	0	5
88.0	7.668684	6	0	10
89.0	7.668686	3	0	7
90.0	7.668688	10	0	8
91.0	7.668689	7	0	8
92.0	7.668691	8	0	6
93.0	7.668692	10	0	6
94.0	7.668693	4	0	2
95.0	7.668694	3	0	3
96.0	7.668695	4	0	6
97.0	7.668696	6	0	3
98.0	7.668696	6	0	6
99.0	7.668697	8	0	6
100.0	7.668697	4	0	3
101.0	0	1	0	6
102.0	0	3	0	1
103.0	0	7	0	9
104.0	0	4	0	1
105.0	0	7	0	4
106.0	0	5	0	6
107.0	0	2	0	4
108.0	0	5	0	4
109.0	0	1	0	2
110.0	0	1	0	4
111.0	0	6	0	4
112.0	0	2	0	2
113.0	0	4	0	4
114.0	0	2	0	2
115.0	0	4	0	2
116.0	0	1	0	5
117.0	0	5	0	3
118.0	0	1	0	5
119.0	0	3	0	3
120.0	0	8	0	3
121.0	0	2	0	3
122.0	0	2	0	2
123.0	0	4	0	3
124.0	0	3	0	2
125.0	0	3	0	1
126.0	0	2	0	1
127.0	0	0	0	2
128.0	0	1	0	2
129.0	0	3	0	2
130.0	0	2	0	2
131.0	0	3	0	2
132.0	0	0	0	2
133.0	0	3	0	4
134.0	0	3	0	1
135.0	0	2	0	0
136.0	0	0	0	3
137.0	0	1	0	2
138.0	0	2	0	2
139.0	0	3	0	2
140.0	0	0	0	1
141.0	0	4	0	2
142.0	0	3	0	1
143.0	0	0	0	1
144.0	0	1	0	0
146.0	0	1	0	0
148.0	0	1	0	2
149.0	0	0	0	2
150.0	0	2	0	1
151.0	0	1	0	2
152.0	0	1	0	0
153.0	0	2	0	1
154.0	0	0	0	1
155.0	0	0	0	1
156.0	0	0	0	1
157.0	0	3	0	1
158.0	0	2	0	0
161.0	0	1	0	2
163.0	0	0	0	3
164.0	0	0	0	1
165.0	0	1	0	0
166.0	0	3	0	0
167.0	0	1	0	0
169.0	0	0	0	2
170.0	0	0	0	2
171.0	0	1	0	1
172.0	0	2	0	1
173.0	0	2	0	0
174.0	0	1	0	0
175.0	0	0	0	1
178.0	0	0	0	3
179.0	0	3	0	0
180.0	0	1	0	1
181.0	0	1	0	1
183.0	0	0	0	1
184.0	0	1	0	1
185.0	0	1	0	1
186.0	0	1	0	1
188.0	0	2	0	2
189.0	0	0	0	1
191.0	0	2	0	1
193.0	0	1	0	2
194.0	0	2	0	1
196.0	0	1	0	1
197.0	0	2	0	0
200.0	0	0	0	1
201.0	0	1	0	1
204.0	0	1	0	0
208.0	0	0	0	1
210.0	0	1	0	0
212.0	0	0	0	1
213.0	0	1	0	0
216.0	0	0	0	2
218.0	0	0	0	1
219.0	0	0	0	1
220.0	0	2	0	1
221.0	0	0	0	1
222.0	0	0	0	1
223.0	0	1	0	1
224.0	0	2	0	1
225.0	0	1	0	0
226.0	0	1	0	0
228.0	0	2	0	0
237.0	0	0	0	1
238.0	0	0	0	1
241.0	0	0	0	1
242.0	0	1	0	0
244.0	0	2	0	0
247.0	0	0	0	1
249.0	0	0	0	1
251.0	0	1	0	0
252.0	0	1	0	0
259.0	0	0	0	1
261.0	0	0	0	1
263.0	0	2	0	0
265.0	0	0	0	1
272.0	0	1	0	0
277.0	0	0	0	1
282.0	0	1	0	0
292.0	0	0	0	1
295.0	0	1	0	0
315.0	0	0	0	1
325.0	0	1	0	0
352.0	0	0	0	1
354.0	0	1	0	0
364.0	0	0	0	1
369.0	0	1	0	0
1072.0	0	0	0	1
1086.0	0	1	0	0

