## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/bam/KO2-ATAC.sorted.bam] OUTPUT=results/bam/KO2-ATAC.markdup.bam METRICS_FILE=results/qc/picard/KO2-ATAC.markdup_metrics.txt REMOVE_DUPLICATES=false TMP_DIR=[tmp/KO2-ATAC] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 18 10:41:00 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
KO2-ATAC	1600874	20457770	0	0	577444	2441268	1357362	0.128421	161863163

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.066674	16246095	0	17326206
2.0	2.006704	1460766	968355	595992
3.0	2.835125	218024	143033	44721
4.0	3.56519	47290	25672	14672
5.0	4.208575	15189	4886	8470
6.0	4.775572	7058	940	5566
7.0	5.275251	4309	191	3911
8.0	5.715604	3107	41	2866
9.0	6.103674	2285	12	2174
10.0	6.445669	1805	7	1703
11.0	6.74706	1416	1	1371
12.0	7.012667	1118	1	1059
13.0	7.246739	907	1	891
14.0	7.453021	744	2	726
15.0	7.63481	662	1	659
16.0	7.795016	592	0	578
17.0	7.936202	486	1	486
18.0	8.060624	450	0	409
19.0	8.170274	371	0	355
20.0	8.266906	334	0	339
21.0	8.352064	302	0	277
22.0	8.427112	273	0	246
23.0	8.493249	229	0	221
24.0	8.551535	195	0	191
25.0	8.6029	186	0	181
26.0	8.648166	154	0	149
27.0	8.688058	159	0	157
28.0	8.723214	130	0	134
29.0	8.754196	120	0	106
30.0	8.781499	106	0	100
31.0	8.805561	88	0	81
32.0	8.826766	92	0	94
33.0	8.845453	75	0	78
34.0	8.861922	81	0	87
35.0	8.876435	74	0	66
36.0	8.889225	87	0	78
37.0	8.900497	73	0	72
38.0	8.91043	62	0	60
39.0	8.919184	37	0	33
40.0	8.926899	43	0	43
41.0	8.933698	41	0	45
42.0	8.939689	42	0	36
43.0	8.944969	40	0	36
44.0	8.949622	33	0	36
45.0	8.953723	33	0	28
46.0	8.957337	30	0	29
47.0	8.960522	32	0	31
48.0	8.963329	36	0	31
49.0	8.965802	18	0	21
50.0	8.967982	27	0	34
51.0	8.969903	30	0	24
52.0	8.971596	28	0	28
53.0	8.973088	19	0	20
54.0	8.974402	18	0	15
55.0	8.975561	25	0	28
56.0	8.976582	24	0	15
57.0	8.977482	11	0	15
58.0	8.978275	14	0	16
59.0	8.978974	22	0	22
60.0	8.97959	13	0	15
61.0	8.980133	22	0	14
62.0	8.980611	14	0	15
63.0	8.981033	19	0	20
64.0	8.981404	13	0	14
65.0	8.981731	15	0	15
66.0	8.98202	15	0	9
67.0	8.982274	10	0	9
68.0	8.982498	13	0	12
69.0	8.982696	9	0	9
70.0	8.98287	7	0	6
71.0	8.983023	7	0	9
72.0	8.983158	10	0	7
73.0	8.983277	8	0	9
74.0	8.983382	10	0	12
75.0	8.983475	9	0	9
76.0	8.983556	7	0	6
77.0	8.983628	11	0	4
78.0	8.983692	1	0	5
79.0	8.983747	5	0	6
