Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
KI2-ATAC_R1_001	(1, 0.00023964540149231983)	(2, 0.1278620051482223)	(3, 0.022422821399631393)	(4, 0.01578943668632398)	(5, 8.147943650738874e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0008866879855215835)	(9, 0.0)	(10, 0.0)	(15, 0.04956697673586348)	(20, 0.030362113787470956)	(25, 6.071016837805435e-06)	(30, 0.04488206890028962)	(35, 9.585816059692794e-07)	(40, 3.962137304673022e-05)	(45, 0.019111241478209525)	(50, 0.0032757928747990175)	(55, 0.00032368105561562667)	(60, 0.0017289616899665902)	(65, 0.016937178395871198)	(70, 0.019919325772041627)	(75, 0.00020385835486946672)	(80, 0.04874706993555775)	(85, 0.033373657666224445)	(90, 0.00028278157376093743)	(95, 0.01583033616817867)	(100, 0.00012269844556406776)	(105, 1.2781088079590393e-06)	(110, 0.015640537010196753)	(115, 1.1502979271631353e-05)	(120, 0.0007179776228709902)	(125, 0.0004767345853687216)	(130, 1.9171632119385588e-06)	(135, 1.0863924867651833e-05)	(140, 0.0338960846414777)	(145, 0.03152519280271368)	(150, 0.0)
KI2-ATAC_R2_001	(1, 0.324887270803138)	(2, 0.033646214369521706)	(3, 0.025229867869111435)	(4, 0.023034715991441784)	(5, 0.026442473600662573)	(6, 0.028405968256889645)	(7, 0.02572833030421546)	(8, 0.023443710809988676)	(9, 0.019580626937932482)	(10, 0.0212025470152325)	(15, 0.05703975940879799)	(20, 0.022384478135392624)	(25, 0.03888518237334581)	(30, 0.0392318693875047)	(35, 0.03899286304041635)	(40, 0.04169478506044177)	(45, 0.03788857703033975)	(50, 0.04157847715891749)	(55, 0.023398337947306128)	(60, 0.025139761198150323)	(65, 0.027697576450078348)	(70, 0.024042504786517486)	(75, 0.0251528618134319)	(80, 0.049298573886192076)	(85, 0.038901797787849274)	(90, 0.03815154791757732)	(95, 0.04784248842672475)	(100, 0.06364981863636016)	(105, 0.024175428102545225)	(110, 0.026124224507480767)	(115, 0.02924952007014261)	(120, 0.04091801443240466)	(125, 0.07448945943666077)	(130, 0.04338987686699744)	(135, 0.059015715625902666)	(140, 0.02411631557017712)	(145, 0.025682318387128932)	(150, 0.02374087110783915)
KI3-ATAC_R1_001	(1, 0.0002410533439067882)	(2, 0.12380274196064191)	(3, 0.02131560007727804)	(4, 0.016338059975904533)	(5, 9.726713876940576e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0008993686164475489)	(9, 0.0)	(10, 0.0)	(15, 0.047216570429760754)	(20, 0.03035214016955918)	(25, 8.739945802468344e-06)	(30, 0.0483832122275225)	(35, 8.458012066904849e-07)	(40, 2.5937903671841535e-05)	(45, 0.020605690931129156)	(50, 0.0034928770498961394)	(55, 0.0003044884344085746)	(60, 0.0017186680519950654)	(65, 0.01720162300793552)	(70, 0.02009228959866803)	(75, 0.00018241112690958126)	(80, 0.05181744706042143)	(85, 0.0340327850873406)	(90, 0.0002748853921744076)	(95, 0.016921380874785404)	(100, 9.47297351493343e-05)	(105, 1.12773494225398e-06)	(110, 0.017082646971527723)	(115, 7.612210860214364e-06)	(120, 0.000726261302811563)	(125, 0.0004722390070688541)	(130, 4.229006033452425e-06)	(135, 8.176078331341353e-06)	(140, 0.033002035350120466)	(145, 0.033258595049483246)	(150, 0.0)
KI3-ATAC_R2_001	(1, 0.32815677150913)	(2, 0.030465759464991266)	(3, 0.022355935561507334)	(4, 0.021962638000396256)	(5, 0.023712036829567743)	(6, 0.02618882469649305)	(7, 0.022756281466007496)	(8, 0.021417096222080895)	(9, 0.017805525069512523)	(10, 0.019545338151674852)	(15, 0.05513157812197031)	(20, 0.020349977032973067)	(25, 0.037677342486969904)	(30, 0.03672694386438537)	(35, 0.03815803950610566)	(40, 0.04078819932517751)	(45, 0.03719720933530527)	(50, 0.039249686930207514)	(55, 0.021442188324546044)	(60, 0.02282197202639379)	(65, 0.025740268123211524)	(70, 0.021494346065625294)	(75, 0.02286144274937268)	(80, 0.0466439630128313)	(85, 0.038022147445564064)	(90, 0.03719636353409858)	(95, 0.04436932163430502)	(100, 0.0617936722933357)	(105, 0.021955589657007172)	(110, 0.023660161022224062)	(115, 0.02720463194572832)	(120, 0.04002923370904058)	(125, 0.07274905338986198)	(130, 0.041885485423990634)	(135, 0.057787675844714004)	(140, 0.02189412810265433)	(145, 0.02340360132286128)	(150, 0.02248280574251091)
KI4-ATAC_R1_001	(1, 0.0002244893884928458)	(2, 0.12313196767600391)	(3, 0.021401783615306633)	(4, 0.016458397945244008)	(5, 0.00010439218477239331)	(6, 0.0)	(7, 0.0)	(8, 0.0008693189900072753)	(9, 0.0)	(10, 0.0)	(15, 0.04694876840825688)	(20, 0.030130263616780315)	(25, 8.406804260431674e-06)	(30, 0.04682968741164483)	(35, 5.542947864020884e-07)	(40, 2.6698532211700587e-05)	(45, 0.02007350854215843)	(50, 0.003440969651519764)	(55, 0.00029479244390151065)	(60, 0.0016643624786366706)	(65, 0.016994862916016828)	(70, 0.019600325559499844)	(75, 0.00018652019562430272)	(80, 0.05052701840187557)	(85, 0.03376375832411041)	(90, 0.0002783483652382487)	(95, 0.016572028376456438)	(100, 0.00010901130799241071)	(105, 1.7552668236066132e-06)	(110, 0.01667632817876443)	(115, 7.667744545228889e-06)	(120, 0.0007103287687742762)	(125, 0.00045526078456491523)	(130, 3.880063504814619e-06)	(135, 7.021067294426453e-06)	(140, 0.032830695433666894)	(145, 0.03215039096582273)	(150, 0.0)
KI4-ATAC_R2_001	(1, 0.3237585037019178)	(2, 0.02891063032176692)	(3, 0.021846143269072308)	(4, 0.02157638647302329)	(5, 0.02263647525201728)	(6, 0.025755307250173037)	(7, 0.02159763443983537)	(8, 0.02113479829318963)	(9, 0.017192376624904773)	(10, 0.019125202545088857)	(15, 0.05404854556235243)	(20, 0.019794883029526977)	(25, 0.03658096157599902)	(30, 0.03607322755165471)	(35, 0.03749758038777927)	(40, 0.039885112797741866)	(45, 0.03635425500836057)	(50, 0.038138714690717695)	(55, 0.02086984538528943)	(60, 0.022245882192532613)	(65, 0.025184476002643282)	(70, 0.02089210955920991)	(75, 0.02232727114366932)	(80, 0.04594983682069592)	(85, 0.0370534054989424)	(90, 0.03639194705383591)	(95, 0.04372970143622675)	(100, 0.060711261277369935)	(105, 0.02132418234521034)	(110, 0.02294586412529405)	(115, 0.02660864407383905)	(120, 0.03874696083632958)	(125, 0.07176380693576317)	(130, 0.040703806197257754)	(135, 0.05694150243504933)	(140, 0.021378503234277743)	(145, 0.022701697271883932)	(150, 0.022173177193049537)
KO1-ATAC_R1_001	(1, 0.00020225365585618179)	(2, 0.12483500146755253)	(3, 0.02212520159296058)	(4, 0.016536258902801422)	(5, 0.0001200038358080012)	(6, 0.0)	(7, 0.0)	(8, 0.0009209283129984811)	(9, 0.0)	(10, 0.0)	(15, 0.046189880909811375)	(20, 0.029769041426618546)	(25, 5.3934308228315146e-06)	(30, 0.04613783430237105)	(35, 8.090146234247271e-07)	(40, 3.101222723128121e-05)	(45, 0.019843241011820566)	(50, 0.0034283343025328524)	(55, 0.000275873986587832)	(60, 0.001641760342469913)	(65, 0.016998206252776944)	(70, 0.019161241684273522)	(75, 0.00017663485944773212)	(80, 0.04870429835941542)	(85, 0.03275862013171405)	(90, 0.0002799190597049556)	(95, 0.01596428556404014)	(100, 0.00010436288642178981)	(105, 3.2360584936989084e-06)	(110, 0.01643648043257904)	(115, 9.168832398813575e-06)	(120, 0.0006987189630978227)	(125, 0.00045089081678871464)	(130, 5.123759281689939e-06)	(135, 8.899160857671998e-06)	(140, 0.03245443063330635)	(145, 0.03229424573786826)	(150, 0.0)
KO1-ATAC_R2_001	(1, 0.3172105887717184)	(2, 0.029929495993597784)	(3, 0.022440717296096223)	(4, 0.021817776036059184)	(5, 0.023381870974680325)	(6, 0.026213422156666867)	(7, 0.022695556902475014)	(8, 0.021684288623194103)	(9, 0.017915628835740584)	(10, 0.01966417910850256)	(15, 0.05399741136894227)	(20, 0.020481283878161533)	(25, 0.037081994279295795)	(30, 0.03651918977293333)	(35, 0.037543671957730174)	(40, 0.040056741049628516)	(45, 0.036699869705498184)	(50, 0.03821623278133726)	(55, 0.02142837033065075)	(60, 0.022824459899140684)	(65, 0.025896018752743236)	(70, 0.021617949424073277)	(75, 0.022945812092654398)	(80, 0.0463651674115534)	(85, 0.03739993702630171)	(90, 0.03647658166943296)	(95, 0.044372564394058296)	(100, 0.060291275467645504)	(105, 0.022060750094627744)	(110, 0.023528841964602483)	(115, 0.027369234381999664)	(120, 0.03860375078595771)	(125, 0.0712919866454338)	(130, 0.041238711414452046)	(135, 0.05684622152956188)	(140, 0.022099043453469847)	(145, 0.023483267474149555)	(150, 0.022878933550451282)
KO2-ATAC_R1_001	(1, 0.00021491940615712328)	(2, 0.12443522139097211)	(3, 0.021367349655621242)	(4, 0.016676500008191854)	(5, 0.00010278754207514592)	(6, 0.0)	(7, 0.0)	(8, 0.0009484486836933918)	(9, 0.0)	(10, 0.0)	(15, 0.0482294721286596)	(20, 0.03089544332858704)	(25, 6.852502805009728e-06)	(30, 0.04494276260145676)	(35, 9.344322006831447e-07)	(40, 4.2983881231424656e-05)	(45, 0.01961996144034376)	(50, 0.0034371531115128338)	(55, 0.00030182160082065573)	(60, 0.0017523718536811238)	(65, 0.01790558982949042)	(70, 0.018984859021279454)	(75, 0.00018470609833503494)	(80, 0.04863532718115631)	(85, 0.0338653803397583)	(90, 0.0002716082929985674)	(95, 0.015891576959618015)	(100, 0.00012178766348903652)	(105, 2.491819201821719e-06)	(110, 0.0161712836650225)	(115, 1.1213186408197737e-05)	(120, 0.0007565786051531195)	(125, 0.0004721997387452158)	(130, 1.5573870011385742e-06)	(135, 1.3082050809564026e-05)	(140, 0.03320131052247281)	(145, 0.031025640881882224)	(150, 0.0)
KO2-ATAC_R2_001	(1, 0.31774121074629424)	(2, 0.032170943282519536)	(3, 0.02413638374364563)	(4, 0.02223325682825429)	(5, 0.025097291523348126)	(6, 0.027656078366218806)	(7, 0.02486524086017848)	(8, 0.022868670724718827)	(9, 0.018973645834871253)	(10, 0.020524180333204817)	(15, 0.05710408621594766)	(20, 0.021743925832496548)	(25, 0.03825440838636703)	(30, 0.03822886723954836)	(35, 0.038950248898475745)	(40, 0.041326509984812985)	(45, 0.038349097516036254)	(50, 0.039661351803195626)	(55, 0.022384323367364733)	(60, 0.024117072144831508)	(65, 0.027001975825740605)	(70, 0.023039983294844073)	(75, 0.02412205578323515)	(80, 0.04819770143383637)	(85, 0.03923400481008319)	(90, 0.03729848424506818)	(95, 0.04648114948118144)	(100, 0.06120250584814393)	(105, 0.02333214909625767)	(110, 0.024897011555001708)	(115, 0.028501428030436825)	(120, 0.04035688083790411)	(125, 0.07464960817077483)	(130, 0.04225346672789066)	(135, 0.05914613205184056)	(140, 0.023372329680887042)	(145, 0.024764633659904927)	(150, 0.023120967418903276)
