Sample	Unique Reads	Duplicate Reads
KI2-ATAC_R1_001	50706110.0	11886370.0
KI2-ATAC_R2_001	49258221.0	13334259.0
KI3-ATAC_R1_001	58578028.0	12360627.0
KI3-ATAC_R2_001	57597369.0	13341286.0
KI4-ATAC_R1_001	166023881.0	50467421.0
KI4-ATAC_R2_001	162667898.0	53823404.0
KO1-ATAC_R1_001	63031954.0	11132342.0
KO1-ATAC_R2_001	62525032.0	11639264.0
KO2-ATAC_R1_001	50669465.0	13540651.0
KO2-ATAC_R2_001	49334941.0	14875175.0
KO3-ATAC_R1_001	47339771.0	11169329.0
KO3-ATAC_R2_001	45926070.0	12583030.0
PAZ1-ATAC_R1_001	54810483.0	17162633.0
PAZ1-ATAC_R2_001	53625632.0	18347484.0
PAZ2-ATAC_R1_001	46569410.0	13027076.0
PAZ2-ATAC_R2_001	45780079.0	13816407.0
PAZ3-ATAC_R1_001	54887249.0	15928086.0
PAZ3-ATAC_R2_001	54562297.0	16253038.0
WT1-ATAC_R1_001	47181408.0	7974784.0
WT1-ATAC_R2_001	46542195.0	8613997.0
WT2-ATAC_R1_001	67893918.0	15751823.0
WT2-ATAC_R2_001	65948019.0	17697722.0
WT3-ATAC_R1_001	51887573.0	13736621.0
WT3-ATAC_R2_001	50477391.0	15146803.0
