Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Optical	Duplicate Pairs Nonoptical	Duplicate Unpaired
KI2-ATAC	30490872.0	905584.0	2751654.0	1302100.0	481095.0
KI3-ATAC	36775502.0	1100655.0	2862226.0	1899196.0	453188.0
KI4-ATAC	110637406.0	3167705.0	9381152.0	8205284.0	1682904.0
KO1-ATAC	28504380.0	1044455.0	1595770.0	799094.0	300393.0
KO2-ATAC	36033004.0	1023430.0	2714724.0	2167812.0	577444.0
KO3-ATAC	37261326.0	983948.0	3018472.0	1985924.0	487468.0
PAZ1-ATAC	36238304.0	1006781.0	2768624.0	2594212.0	688572.0
PAZ2-ATAC	35353440.0	828253.0	2345562.0	2527326.0	435765.0
PAZ3-ATAC	20789942.0	860149.0	1110512.0	1309038.0	471964.0
WT1-ATAC	29984936.0	800848.0	2356272.0	1336212.0	257853.0
WT2-ATAC	47314454.0	1352182.0	4009638.0	2700492.0	585989.0
WT3-ATAC	36485072.0	1034674.0	2849346.0	1945020.0	576501.0
