Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
KI2-ATAC_R1_001	(1, 38.32716000388545)	(2, 38.86842790060403)	(3, 39.13993946237631)	(4, 39.03768181097793)	(5, 39.04577447642273)	(6, 39.236197000023004)	(7, 39.32166892891926)	(8, 39.35192773956233)	(9, 39.36647744265765)	(10, 39.41923340311807)	(15, 39.5086675715677)	(20, 39.555107156642464)	(25, 39.34592870581258)	(30, 39.28829190982687)	(35, 39.32280394705562)	(40, 39.32933042435768)	(45, 39.312246666053184)	(50, 39.3027295036081)	(55, 39.2508314417323)	(60, 39.21533938262232)	(65, 39.17761255026163)	(70, 39.11847025712993)	(75, 38.97776424260551)	(80, 38.59133586654499)	(85, 37.545420772591214)	(90, 36.260758193316505)	(95, 34.87672159339269)	(100, 33.577101964964484)	(105, 32.145446852401435)	(110, 30.751879529298087)	(115, 29.886382108521662)	(120, 31.08281591015406)	(125, 31.976728399322088)	(130, 32.47518793311912)	(135, 32.74431756658308)	(140, 32.872089030503346)	(145, 33.1417473664568)	(150, 33.44222756471704)
KI2-ATAC_R2_001	(1, 37.745557006209054)	(2, 38.1801486057111)	(3, 38.55199768406684)	(4, 38.49258569080503)	(5, 38.844838325626334)	(6, 39.00550206670194)	(7, 39.02700439413808)	(8, 39.049301194009246)	(9, 39.051176179630524)	(10, 39.13247682149677)	(15, 39.16528637945006)	(20, 39.210568343034176)	(25, 38.82234649274162)	(30, 38.76354477726398)	(35, 38.79369999079762)	(40, 38.824621149377684)	(45, 38.83869444380539)	(50, 38.841823906002766)	(55, 38.84524100019683)	(60, 38.854149584742444)	(65, 38.83705165221126)	(70, 38.83287665227516)	(75, 38.82271964299865)	(80, 38.79601801366554)	(85, 38.76086685173682)	(90, 38.657957147567885)	(95, 38.569003554420604)	(100, 38.31546642024729)	(105, 37.85905701132149)	(110, 37.75416970856563)	(115, 37.74467720083946)	(120, 37.80716748082198)	(125, 37.8366128071615)	(130, 37.91950564029416)	(135, 37.99833395321611)	(140, 38.05888617290767)	(145, 38.14148883060712)	(150, 38.15262894200709)
KI3-ATAC_R1_001	(1, 38.1707020241644)	(2, 38.70613802869536)	(3, 38.978654585430185)	(4, 38.89217200410693)	(5, 38.85578092790172)	(6, 39.04714105447869)	(7, 39.139787186548716)	(8, 39.1752057323331)	(9, 39.22933334442273)	(10, 39.26099079267855)	(15, 39.366238832692844)	(20, 39.42397708555371)	(25, 39.16391185595498)	(30, 39.09456282755854)	(35, 39.13253071403736)	(40, 39.141315707212094)	(45, 39.125780622708454)	(50, 39.11823898550092)	(55, 39.06294142171148)	(60, 39.026903422400665)	(65, 38.99244249838117)	(70, 38.95461194746362)	(75, 38.904458377453025)	(80, 38.62378656601257)	(85, 38.19284226350217)	(90, 37.49162205006566)	(95, 36.35778619710227)	(100, 35.226686956497836)	(105, 34.040345366006726)	(110, 32.82517814300257)	(115, 32.006244420619474)	(120, 33.03624947498652)	(125, 33.445038477258976)	(130, 33.38909946347305)	(135, 33.233752542954186)	(140, 33.06667488409528)	(145, 33.11929212077675)	(150, 33.285190591786666)
KI3-ATAC_R2_001	(1, 37.77161261374352)	(2, 38.24103132488204)	(3, 38.575987576871874)	(4, 38.54065775563407)	(5, 38.78447605187891)	(6, 38.96755392387973)	(7, 38.979757228269975)	(8, 39.00637825738308)	(9, 39.035324732333876)	(10, 39.09771543314431)	(15, 39.123418328131535)	(20, 39.16544079951897)	(25, 38.77928518943586)	(30, 38.72332034488108)	(35, 38.7493143984757)	(40, 38.77573279053571)	(45, 38.78573267000903)	(50, 38.784553916338)	(55, 38.7834700277303)	(60, 38.78862605444099)	(65, 38.76938439839323)	(70, 38.75983838148609)	(75, 38.743166461219204)	(80, 38.71165834198577)	(85, 38.66909739407943)	(90, 38.5629357816271)	(95, 38.46937142521239)	(100, 38.23345654354456)	(105, 37.807448088774734)	(110, 37.67705184148191)	(115, 37.64589267163298)	(120, 37.70752684837343)	(125, 37.72203104781166)	(130, 37.81124754056868)	(135, 37.88124834901367)	(140, 37.954978644576784)	(145, 38.02912457813021)	(150, 38.04247196398071)
KI4-ATAC_R1_001	(1, 38.18589094170628)	(2, 38.71194158183778)	(3, 38.96740831647823)	(4, 38.88281914439223)	(5, 38.85250815296035)	(6, 39.03371572868087)	(7, 39.118018552080215)	(8, 39.14953667745968)	(9, 39.188649971720345)	(10, 39.22403962816021)	(15, 39.32674276216418)	(20, 39.3789111712211)	(25, 39.06512499241194)	(30, 38.97215779505082)	(35, 38.99356293954018)	(40, 38.99124775183808)	(45, 38.96775193120692)	(50, 38.953594654809734)	(55, 38.91426983796328)	(60, 38.87574511053567)	(65, 38.83138955485611)	(70, 38.60676050070594)	(75, 38.51337744552897)	(80, 38.204253063247776)	(85, 37.21414579140921)	(90, 35.847552713226335)	(95, 34.41091453179953)	(100, 33.08929066905422)	(105, 31.685378449061204)	(110, 30.43016500681399)	(115, 29.74557600471173)	(120, 30.269584748490264)	(125, 30.74810706990898)	(130, 31.244237686740878)	(135, 31.595742757369532)	(140, 31.744125816195606)	(145, 31.95027681989736)	(150, 32.21486444753332)
KI4-ATAC_R2_001	(1, 37.93114673031991)	(2, 38.33121130196723)	(3, 38.65244600912419)	(4, 38.591938081650966)	(5, 38.84692213639142)	(6, 39.03395169197144)	(7, 39.03285728310692)	(8, 39.065370349151486)	(9, 39.05510226918955)	(10, 39.11227665673145)	(15, 39.12456702024916)	(20, 39.15908891526736)	(25, 38.77181063468314)	(30, 38.70967816896403)	(35, 38.73117040979319)	(40, 38.75212654779082)	(45, 38.758027352064246)	(50, 38.75152059273033)	(55, 38.74691150963654)	(60, 38.74814882678289)	(65, 38.726887340720964)	(70, 38.71492057634722)	(75, 38.69795358152541)	(80, 38.667216838115735)	(85, 38.632796521312436)	(90, 38.53564493413227)	(95, 38.44507104493279)	(100, 38.22607114811477)	(105, 37.814351020901526)	(110, 37.68263400254297)	(115, 37.65234111253117)	(120, 37.705290702164106)	(125, 37.728308245843515)	(130, 37.815645018385084)	(135, 37.894376414254275)	(140, 37.97008153426875)	(145, 38.05036778798623)	(150, 38.06851579653764)
KO1-ATAC_R1_001	(1, 38.26664496350104)	(2, 38.85047443853576)	(3, 39.090914285763596)	(4, 39.01736172349023)	(5, 38.95267472100052)	(6, 39.138444515134346)	(7, 39.20674034308908)	(8, 39.24490935638356)	(9, 39.290365541931386)	(10, 39.31203661664907)	(15, 39.400435972587125)	(20, 39.443820395733276)	(25, 39.21680245707449)	(30, 39.132558259570075)	(35, 39.140229789277576)	(40, 39.129320615407714)	(45, 39.10094578663567)	(50, 39.080635194056185)	(55, 39.036441292451556)	(60, 38.999053549972345)	(65, 38.8448379365726)	(70, 38.76380808360939)	(75, 38.70868169233346)	(80, 38.3489458054048)	(85, 37.65085399044305)	(90, 36.6892313465768)	(95, 35.22042442093699)	(100, 33.801801335780226)	(105, 32.44213590863183)	(110, 31.017955691239894)	(115, 30.219750765246932)	(120, 31.572004518184873)	(125, 32.33331004449904)	(130, 32.58402998121899)	(135, 32.57456679693959)	(140, 32.62160216824549)	(145, 32.81342105640698)	(150, 33.094661344860604)
KO1-ATAC_R2_001	(1, 38.19243353971836)	(2, 38.665325293453876)	(3, 38.917582902694846)	(4, 38.891804676471274)	(5, 39.00014068764301)	(6, 39.12913057247924)	(7, 39.15300262541425)	(8, 39.18823370210377)	(9, 39.22152144476636)	(10, 39.25317439000567)	(15, 39.26494218188224)	(20, 39.29825142276009)	(25, 39.011650770608)	(30, 38.95859605004543)	(35, 38.97000559945988)	(40, 38.98429691289728)	(45, 38.983784979230435)	(50, 38.97241645225082)	(55, 38.96797674719382)	(60, 38.969282901303345)	(65, 38.949706807707045)	(70, 38.936868080026)	(75, 38.92352980199529)	(80, 38.88805961294368)	(85, 38.83962145342821)	(90, 38.711160599434535)	(95, 38.595371611159095)	(100, 38.32758537612222)	(105, 37.771141898252495)	(110, 37.645866005388896)	(115, 37.714582084079915)	(120, 37.778776930613624)	(125, 37.89572140211511)	(130, 37.98559688613508)	(135, 38.12636482654673)	(140, 38.19694151482271)	(145, 38.31161363683678)	(150, 38.329431186133014)
KO2-ATAC_R1_001	(1, 38.202472582357586)	(2, 38.74073100880241)	(3, 39.00946766705732)	(4, 38.922273618069774)	(5, 38.89717215274926)	(6, 39.08818448482479)	(7, 39.176705614423746)	(8, 39.209584576984724)	(9, 39.2493572819585)	(10, 39.28699484050146)	(15, 39.38973423440007)	(20, 39.43817288852118)	(25, 39.169394940822094)	(30, 39.080444825858905)	(35, 39.095544901367255)	(40, 39.091257259214416)	(45, 39.07046811128639)	(50, 39.055941621410554)	(55, 39.02592065711266)	(60, 39.00953433568007)	(65, 38.99048268344508)	(70, 38.96464188913784)	(75, 38.895566480521545)	(80, 38.50200464985922)	(85, 37.62619520575231)	(90, 36.64507800608864)	(95, 35.41403209425754)	(100, 34.15309212025095)	(105, 32.933452616718526)	(110, 31.594395624514995)	(115, 30.794829412860743)	(120, 31.923799988151405)	(125, 32.740746009554016)	(130, 33.031730483090854)	(135, 33.07643690287057)	(140, 33.123197179709194)	(145, 33.23724790031527)	(150, 33.45933304341017)
KO2-ATAC_R2_001	(1, 37.62147976807891)	(2, 38.04360705406606)	(3, 38.43103644291812)	(4, 38.3447507866206)	(5, 38.72554327732409)	(6, 38.926624272100675)	(7, 38.92411127243564)	(8, 38.958793346518796)	(9, 38.93464254137152)	(10, 39.02314939284645)	(15, 39.05577283803692)	(20, 39.09967662416308)	(25, 38.666812961372)	(30, 38.59398417532839)	(35, 38.62442681773071)	(40, 38.656360969664036)	(45, 38.6718782317727)	(50, 38.67573720626824)	(55, 38.6790646445803)	(60, 38.68743951809712)	(65, 38.67118411061584)	(70, 38.663009000014895)	(75, 38.652256413927056)	(80, 38.6240748794162)	(85, 38.584475960143095)	(90, 38.487700355501616)	(95, 38.38201973034903)	(100, 38.13493837014717)	(105, 37.703484292101265)	(110, 37.5598525939433)	(115, 37.61894143907168)	(120, 37.63728760745425)	(125, 37.7138895621992)	(130, 37.76058864618777)	(135, 37.86720152942879)	(140, 37.898925066573625)	(145, 37.99140722935308)	(150, 37.98617034113441)
