Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KI2-ATAC_R1_001	(1.0, 71.88837966103948)	(2.0, 14.199831738963184)	(3.0, 3.5073513671887935)	(4.0, 1.3132616503778343)	(5.0, 0.7564543250532715)	(6.0, 0.5444683723504526)	(7.0, 0.3818454151498589)	(8.0, 0.3115048757566057)	(9.0, 0.25001052130654855)	('>10', 2.424999163851897)	('>50', 0.954624451987736)	('>100', 2.39440142221487)	('>500', 0.7669985437449711)	('>1k', 0.28843789452193264)	('>5k', 0.017430596492651353)	('>10k+', 0.0)
KI2-ATAC_R2_001	(1.0, 70.06069704520398)	(2.0, 13.47353433880801)	(3.0, 3.2703256868458146)	(4.0, 1.2622156908596558)	(5.0, 0.7185889076810555)	(6.0, 0.5259412338421463)	(7.0, 0.36375801541244873)	(8.0, 0.3043537281796165)	(9.0, 0.22942416826737558)	('>10', 2.260444726392225)	('>50', 0.8667782896700948)	('>100', 2.3944282634715064)	('>500', 0.7627246480778503)	('>1k', 0.27374896362635537)	('>5k', 0.037560746385438736)	('>10k+', 3.195475547276615)
KI3-ATAC_R1_001	(1.0, 73.76325701910396)	(2.0, 14.128315840415556)	(3.0, 3.083999273500528)	(4.0, 1.127159504704488)	(5.0, 0.6157189979017418)	(6.0, 0.44794420437729393)	(7.0, 0.29087988133262627)	(8.0, 0.27414660559288645)	(9.0, 0.20551175458267193)	('>10', 2.2275240188134484)	('>50', 0.855930034361734)	('>100', 2.0964815596693414)	('>500', 0.6289159363157424)	('>1k', 0.23850533104822405)	('>5k', 0.015710038279823514)	('>10k+', 0.0)
KI3-ATAC_R2_001	(1.0, 72.73355293213751)	(2.0, 13.671266003563323)	(3.0, 2.9004173348793523)	(4.0, 1.0226648819461632)	(5.0, 0.5803636372107153)	(6.0, 0.36835702856525393)	(7.0, 0.2652584403943334)	(8.0, 0.24008138131772833)	(9.0, 0.17579999767913695)	('>10', 2.1097543110403354)	('>50', 0.8323253005617454)	('>100', 2.137597106189928)	('>500', 0.6241376055200026)	('>1k', 0.22654268445855683)	('>5k', 0.024296787677976765)	('>10k+', 2.0875845668578306)
KI4-ATAC_R1_001	(1.0, 64.43914413176381)	(2.0, 18.894958195363483)	(3.0, 5.388503778794947)	(4.0, 1.830067920163757)	(5.0, 0.9018315806772169)	(6.0, 0.5271069547365328)	(7.0, 0.40189162665172207)	(8.0, 0.31442667476832953)	(9.0, 0.24582947436266722)	('>10', 2.3874665483844386)	('>50', 0.7781264191167979)	('>100', 1.9627307279068276)	('>500', 0.8372046701054683)	('>1k', 1.0622952214407815)	('>5k', 0.012307068115479452)	('>10k+', 0.016109007647693213)
KI4-ATAC_R2_001	(1.0, 63.05642337668932)	(2.0, 18.825795675114556)	(3.0, 5.151664791320742)	(4.0, 1.7854636742434082)	(5.0, 0.8121265605556682)	(6.0, 0.4801871683007044)	(7.0, 0.34390959729809023)	(8.0, 0.30014164403226423)	(9.0, 0.2300347701056562)	('>10', 2.315876536573715)	('>50', 0.7860531649670799)	('>100', 1.9199474284647193)	('>500', 0.8559092943396838)	('>1k', 1.040063132153699)	('>5k', 0.020667426871600458)	('>10k+', 2.0757357589691474)
KO1-ATAC_R1_001	(1.0, 77.78655826227191)	(2.0, 11.709332362833699)	(3.0, 2.3232159782622275)	(4.0, 0.7888710425435002)	(5.0, 0.48380569915723504)	(6.0, 0.3626084394814487)	(7.0, 0.26616413130076005)	(8.0, 0.20649535468386035)	(9.0, 0.15872256319737474)	('>10', 2.215799837452326)	('>50', 0.9170077394011319)	('>100', 1.9735678964815535)	('>500', 0.5809489301189334)	('>1k', 0.22690176281392227)	('>5k', 0.0)	('>10k+', 0.0)
KO1-ATAC_R2_001	(1.0, 77.2502143271538)	(2.0, 11.476260652887367)	(3.0, 2.215642366781636)	(4.0, 0.8245423890928987)	(5.0, 0.47276520810102063)	(6.0, 0.34667324498158303)	(7.0, 0.25005576631494564)	(8.0, 0.18890906249689698)	(9.0, 0.16429733371652422)	('>10', 2.2499288725547184)	('>50', 0.899265216142448)	('>100', 2.028235412970185)	('>500', 0.5605797756421681)	('>1k', 0.2095354505818064)	('>5k', 0.01589533168324364)	('>10k+', 0.8471995888987851)
KO2-ATAC_R1_001	(1.0, 69.97471233171446)	(2.0, 13.561994130794695)	(3.0, 3.433670088931004)	(4.0, 1.5003845558443454)	(5.0, 0.9353042812495693)	(6.0, 0.6507086110601478)	(7.0, 0.5099261658725485)	(8.0, 0.39462704934750586)	(9.0, 0.32467141896297375)	('>10', 2.719400458942045)	('>50', 0.9844200940200635)	('>100', 2.954376501316102)	('>500', 1.2710413162288565)	('>1k', 0.7847629957156923)	('>5k', 0.0)	('>10k+', 0.0)
KO2-ATAC_R2_001	(1.0, 68.30118489712127)	(2.0, 13.014266604510208)	(3.0, 3.297373037168029)	(4.0, 1.438248266648006)	(5.0, 0.7637508614140609)	(6.0, 0.6101701411220032)	(7.0, 0.4266130401582061)	(8.0, 0.33294008413991544)	(9.0, 0.3063301099661037)	('>10', 2.6365012979567544)	('>50', 0.937188594203585)	('>100', 2.991714792714194)	('>500', 1.2304809525924083)	('>1k', 0.7490995807812779)	('>5k', 0.018075595274476792)	('>10k+', 2.946062144229464)
KO3-ATAC_R1_001	(1.0, 71.90364325494981)	(2.0, 14.336241204740826)	(3.0, 3.156410591712867)	(4.0, 1.2401499897234307)	(5.0, 0.7221760582183064)	(6.0, 0.4531312924918741)	(7.0, 0.33444902467795073)	(8.0, 0.23641174554031413)	(9.0, 0.23364252762321727)	('>10', 2.3482008799911522)	('>50', 1.016819959397782)	('>100', 2.724055192247638)	('>500', 0.9194177771072237)	('>1k', 0.3752505015775207)	('>5k', 0.0)	('>10k+', 0.0)
KO3-ATAC_R2_001	(1.0, 69.95255846193274)	(2.0, 13.588832047863647)	(3.0, 3.060997902064697)	(4.0, 1.1355273436113604)	(5.0, 0.6813687935410835)	(6.0, 0.44123512541650084)	(7.0, 0.2822663203133736)	(8.0, 0.2296724981517507)	(9.0, 0.18660018167936768)	('>10', 2.2157139317193946)	('>50', 0.9656752131035349)	('>100', 2.7099467900373093)	('>500', 0.9934366044914206)	('>1k', 0.3573896678526122)	('>5k', 0.018683574130689332)	('>10k+', 3.180095544090406)
PAZ1-ATAC_R1_001	(1.0, 66.51549800886318)	(2.0, 13.971355627755845)	(3.0, 3.9595740492825526)	(4.0, 1.8886252967289932)	(5.0, 1.2452147295697722)	(6.0, 0.893894423925142)	(7.0, 0.6960880880390051)	(8.0, 0.5444320212574316)	(9.0, 0.4143076805061137)	('>10', 3.7221488589816825)	('>50', 0.9923062184103458)	('>100', 2.8259034056552554)	('>500', 1.357570032896232)	('>1k', 0.9730815581286929)	('>5k', 0.0)	('>10k+', 0.0)
PAZ1-ATAC_R2_001	(1.0, 65.33033224281255)	(2.0, 13.45178189533117)	(3.0, 3.6232506134614137)	(4.0, 1.8158427728782849)	(5.0, 1.1152454075622011)	(6.0, 0.8425716966626914)	(7.0, 0.5983040452384472)	(8.0, 0.5103285626052141)	(9.0, 0.43376377482862943)	('>10', 3.4345959767077416)	('>50', 0.9331577628786475)	('>100', 2.951781158411769)	('>500', 1.3161306811671025)	('>1k', 0.9346994425673766)	('>5k', 0.024506870693142932)	('>10k+', 2.6837070961934653)
PAZ2-ATAC_R1_001	(1.0, 69.48036990304097)	(2.0, 12.934152247591706)	(3.0, 3.403085122217439)	(4.0, 1.5396669006067796)	(5.0, 0.9949443546670562)	(6.0, 0.7205742260594868)	(7.0, 0.5195100577903973)	(8.0, 0.4145980995632542)	(9.0, 0.3420264914635119)	('>10', 2.7861952633440055)	('>50', 1.0278975154531003)	('>100', 3.230731491861589)	('>500', 1.497306497974343)	('>1k', 1.1089418283663575)	('>5k', 0.0)	('>10k+', 0.0)
