Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
KI2-ATAC_R1_001 - nextera_transposase_sequence	(1, 0.005166754856174416)	(2, 0.005189121760313699)	(3, 0.005205098120413187)	(4, 0.00524024611263206)	(5, 0.005251429564701702)	(6, 0.005257820108741497)	(7, 0.00528178464889073)	(8, 0.005289772828940473)	(9, 0.005395216805597094)	(10, 0.005544595772527307)	(12, 0.005648442113173979)	(14, 0.006045454661646256)	(16, 0.0063178516013425254)	(18, 0.00719016086277457)	(20, 0.010126615849060463)	(22, 0.014706239471578696)	(24, 0.019154058123276148)	(26, 0.06221673913543608)	(28, 0.23649885737072568)	(30, 0.40232309056934634)	(32, 0.5117467785267495)	(34, 0.7994682428304487)	(36, 1.8363531849193384)	(38, 4.114633259458644)	(40, 6.954829877327116)	(42, 9.65753154372538)	(44, 12.410205666878833)	(46, 15.429923850277222)	(48, 18.494895872475418)	(50, 21.48353524257227)	(52, 24.219836791895766)	(54, 26.839931889581624)	(56, 29.42627852419332)	(58, 31.938089847214876)	(60, 34.31843330061375)	(62, 36.502219595708624)	(64, 38.62191831990041)	(66, 40.68907478981501)	(68, 42.62866561606123)	(70, 44.46603090339287)	(72, 46.20780403652324)	(74, 47.89640065388046)	(76, 49.5187880397134)	(78, 51.03329745042855)	(80, 52.43684704616274)	(82, 53.75693933200921)	(84, 55.030641859852814)	(86, 56.261228984695926)	(88, 57.38595355224781)	(90, 58.40659772547757)	(92, 59.36759895118391)	(94, 60.320610399204504)	(96, 61.25968566831031)	(98, 62.09680460016922)	(100, 62.8424492846425)	(102, 63.525591253134564)	(104, 64.1844803081776)	(106, 64.81646836808511)	(108, 65.38525953916509)	(110, 65.90622307983324)	(112, 66.38899433286554)	(114, 66.86302491928743)	(116, 67.32076840540589)	(118, 67.7382922037919)	(120, 68.0995808122637)	(122, 68.42956374312058)	(124, 68.72513838723117)	(126, 69.01730287727855)	(128, 69.31798436489495)	(130, 69.60811746075566)	(132, 69.85934811977413)	(134, 70.09074332891107)	(136, 70.33198476877733)	(138, 70.56991430919497)
KI2-ATAC_R1_001 - polya	(1, 4.153853625866877e-05)	(2, 0.00010224870463672313)	(3, 0.0001757399610943679)	(4, 0.00028118393775098863)	(5, 0.0007125456604371644)	(6, 0.0018181097793217333)	(7, 0.0022382880499382672)	(8, 0.0030147391507733836)	(9, 0.0034604795975490986)	(10, 0.007668652847754235)	(12, 0.016591449963318277)	(14, 0.02824141174786492)	(16, 0.05847667323614594)	(18, 0.10944765249755242)	(20, 0.13071059015396097)	(22, 0.15052686840336094)	(24, 0.17228667085886357)	(26, 0.2018349488628666)	(28, 0.22833174208786744)	(30, 0.2513640616252943)	(32, 0.2722595429994146)	(34, 0.29359996600230576)	(36, 0.3414060283280036)	(38, 0.3683956922620737)	(40, 0.393098340247902)	(42, 0.4171060165694026)	(44, 0.43815646863648794)	(46, 0.45473433869372165)	(48, 0.4686465530683558)	(50, 0.48545767798304207)	(52, 0.49856388499065707)	(54, 0.5117164234425605)	(56, 0.5302873444222054)	(58, 0.5422081055104383)	(60, 0.5512587135067983)	(62, 0.5609555652691824)	(64, 0.569426231393931)	(66, 0.5829014923198441)	(68, 0.595701752031554)	(70, 0.6034534819518256)	(72, 0.6130912211818417)	(74, 0.6217264438156149)	(76, 0.6285914857503649)	(78, 0.6356282735561845)	(80, 0.6446653016464599)	(82, 0.6528092512071737)	(84, 0.6589617474814866)	(86, 0.6677375620841354)	(88, 0.6746896751814275)	(90, 0.680604123690258)	(92, 0.6870489873543915)	(94, 0.6938796801149276)	(96, 0.7001551943620065)	(98, 0.708404587899377)	(100, 0.7163456376868276)	(102, 0.7222473051075784)	(104, 0.7298816087811187)	(106, 0.7358072407420189)	(108, 0.741513197751551)	(110, 0.7488527375812558)	(112, 0.7589050633558536)	(114, 0.7673637472105275)	(116, 0.7744229019204862)	(118, 0.781265576951097)	(120, 0.7884381638177621)	(122, 0.7968193623259535)	(124, 0.8035038713915793)	(126, 0.8154613781080411)	(128, 0.8274524351807118)	(130, 0.8356499055477591)	(132, 0.8419549760610221)	(134, 0.8487688936434536)	(136, 0.855343165824393)	(138, 0.8629582978658139)
KI2-ATAC_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 8.147943650738874e-05)	(4, 0.00021408322533313906)	(5, 0.0008147943650738874)	(6, 0.0012269844556406775)	(7, 0.0014490558610235607)	(8, 0.0017142634386750613)	(9, 0.0018372814114411189)	(10, 0.0023389391185650414)	(12, 0.002954028982395329)	(14, 0.0036106573824842853)	(16, 0.004281664506662781)	(18, 0.004919920092637326)	(20, 0.005548589862552179)	(22, 0.006193235992566519)	(24, 0.0069017875629788115)	(26, 0.007879540801067477)	(28, 0.008795785052773113)	(30, 0.009704839942433978)	(32, 0.010645048734288847)	(34, 0.011525346175770636)	(36, 0.012448779789521042)	(38, 0.013313100870903342)	(40, 0.014336386735275548)	(42, 0.015273400255110519)	(44, 0.016204822048910668)	(46, 0.017270445267546515)	(48, 0.01836402711635647)	(50, 0.019443230241076883)	(52, 0.020595924622254944)	(54, 0.021636784482736586)	(56, 0.022817437494088745)	(58, 0.024059599491823937)	(60, 0.025384039744071493)	(62, 0.02672365753841356)	(64, 0.028057683606720805)	(66, 0.030187332407982555)	(68, 0.03211008734595593)	(70, 0.03446340518861052)	(72, 0.037927878876184484)	(74, 0.041579275976922465)	(76, 0.046187657047619776)	(78, 0.05324281766755368)	(80, 0.08145467314923455)	(82, 0.22041785211258605)	(84, 0.6368584532838449)	(86, 1.3556181189817051)	(88, 2.277097025073939)	(90, 3.371845148171154)	(92, 4.645820871772456)	(94, 5.99427359324954)	(96, 7.362286971214433)	(98, 8.758310902523753)	(100, 10.196160145755528)	(102, 11.608573426072908)	(104, 13.007803014036192)	(106, 14.546770634427649)	(108, 16.509353040493043)	(110, 18.791629601511236)	(112, 20.773469113222546)	(114, 22.439900128577747)	(116, 24.06512411714634)	(118, 25.642416628962458)	(120, 26.91776711835032)	(122, 28.17520411397663)	(124, 29.524357398844078)	(126, 30.885044018067347)	(128, 32.34019166519684)	(130, 33.9035360158281)	(132, 35.61308083654778)	(134, 37.49858609213119)	(136, 39.430018590092615)	(138, 41.35372731676394)
KI2-ATAC_R2_001 - nextera_transposase_sequence	(1, 0.004943085814781584)	(2, 0.00496225744690097)	(3, 0.00497503853498056)	(4, 0.005003795983159638)	(5, 0.005010186527199433)	(6, 0.0050197723432591265)	(7, 0.005040541611388461)	(8, 0.0050517250634581025)	(9, 0.005150778496074928)	(10, 0.005315335005099654)	(12, 0.005418382527741352)	(14, 0.005922436688880197)	(16, 0.006201224172616263)	(18, 0.007080722796093077)	(20, 0.010028361234448611)	(22, 0.014634345851130999)	(24, 0.019065389324723993)	(26, 0.061935555197685094)	(28, 0.2351312809462095)	(30, 0.39982518666779143)	(32, 0.5084684294343346)	(34, 0.7932893855619716)	(36, 1.8220279816361327)	(38, 4.085987645800262)	(40, 6.909121511082482)	(42, 9.596830961163384)	(44, 12.335244585292035)	(46, 15.338103714695439)	(48, 18.387450057898327)	(50, 21.35892043261427)	(52, 24.08169479784153)	(54, 26.68790004805689)	(56, 29.26038159855625)	(58, 31.759536449106985)	(60, 34.12995059470403)	(62, 36.30574311802312)	(64, 38.419471476445736)	(66, 40.481123291488046)	(68, 42.41493067537826)	(70, 44.2483945355736)	(72, 45.98737420214057)	(74, 47.67441472202412)	(76, 49.297494683067356)	(78, 50.809830509990974)	(80, 52.20981338333295)	(82, 53.52331542063838)	(84, 54.78767497309581)	(86, 56.007147344217714)	(88, 57.120853815026976)	(90, 58.131023087757505)	(92, 59.08128101011495)	(94, 60.02360507204699)	(96, 60.95228452363607)	(98, 61.78073388368699)	(100, 62.51831290276404)	(102, 63.19380778649448)	(104, 63.845229490827016)	(106, 64.46981250782842)	(108, 65.03226825331095)	(110, 65.54703456389649)	(112, 66.0237979067134)	(114, 66.49150025689987)	(116, 66.94279168999216)	(118, 67.35520544960033)	(120, 67.71371097614282)	(122, 68.0416233707308)	(124, 68.33493975634133)	(126, 68.6246950112857)	(128, 68.92238252901947)	(130, 69.2101591117655)	(132, 69.4598704189385)	(134, 69.68969435305966)	(136, 69.92990292124549)	(138, 70.16698651339587)
KI2-ATAC_R2_001 - polya	(1, 3.994090024871997e-05)	(2, 0.00010863924867651833)	(3, 0.0001693494170545727)	(4, 0.0003163319299698622)	(5, 0.0007093503884172668)	(6, 0.0016887012625158805)	(7, 0.0020849149929831824)	(8, 0.0027910701093805516)	(9, 0.003233615284136369)	(10, 0.0071046873362423085)	(12, 0.014971447049230195)	(14, 0.024980636651559418)	(16, 0.050315149679322504)	(18, 0.09259259259259259)	(20, 0.11057718115658621)	(22, 0.1275336909481778)	(24, 0.1457699071837384)	(26, 0.17064749631265608)	(28, 0.1917993982663732)	(30, 0.21077531997454008)	(32, 0.22770946286199237)	(34, 0.24466836910759887)	(36, 0.2824356855647835)	(38, 0.30346856363575947)	(40, 0.32321055181069674)	(42, 0.34196759738550064)	(44, 0.358026235739501)	(46, 0.37086164344342964)	(48, 0.3815897692502358)	(50, 0.39439002896194564)	(52, 0.404205105789066)	(54, 0.4140816916025695)	(56, 0.42780059201999987)	(58, 0.43673617022364347)	(60, 0.44382967410781615)	(62, 0.4512690661881428)	(64, 0.45759570478753997)	(66, 0.46768078210034175)	(68, 0.4771252073731541)	(70, 0.48312672704452675)	(72, 0.49054774631073894)	(74, 0.4969271068984645)	(76, 0.5020083882281067)	(78, 0.5072023028964502)	(80, 0.5139027883221754)	(82, 0.5197916746548468)	(84, 0.5242187240384149)	(86, 0.5306939427867373)	(88, 0.535571525525111)	(90, 0.5398004680434455)	(92, 0.5446700626017694)	(94, 0.5496283259586454)	(96, 0.553948333729547)	(98, 0.5596047640227708)	(100, 0.5653914016508053)	(102, 0.5697138058757218)	(104, 0.5752064784779258)	(106, 0.5796782616697724)	(108, 0.5839846895345895)	(110, 0.5891802018389429)	(112, 0.5962577293630161)	(114, 0.6022432726742893)	(116, 0.6070737251503695)	(118, 0.6117084672152309)	(120, 0.6167170561064205)	(122, 0.6224325989320123)	(124, 0.6269171632119386)	(126, 0.6350243671444238)	(128, 0.6432841453158591)	(130, 0.6489309897930231)	(132, 0.6532006720296113)	(134, 0.6579097041689352)	(136, 0.6626466949384335)	(138, 0.6678182427026378)
KI2-ATAC_R2_001 - polyg	(1, 3.334279133851223)	(2, 3.3481753718657576)	(3, 3.3581653898359676)	(4, 3.3657925041474632)	(5, 3.3725808595537354)	(6, 3.3810323540463645)	(7, 3.386889287658837)	(8, 3.3913466921265942)	(9, 3.3959031500269683)	(10, 3.402656357441022)	(12, 3.4120975874418145)	(14, 3.4165486013655313)	(16, 3.419092836711375)	(18, 3.4211074557199206)	(20, 3.4228568671508146)	(22, 3.4244632901588177)	(24, 3.4258164878592448)	(26, 3.4271952477358303)	(28, 3.4283759007471826)	(30, 3.429543772670455)	(32, 3.4306876800535786)	(34, 3.431708569463936)	(36, 3.432852476847059)	(38, 3.4338621828053464)	(40, 3.4348623029475744)	(42, 3.4358384585496533)	(44, 3.436776270887493)	(46, 3.437678935233114)	(48, 3.4386806530113523)	(50, 3.4396376369813115)	(52, 3.4405810410451863)	(54, 3.4414924923888623)	(56, 3.4424742397169754)	(58, 3.443458383499104)	(60, 3.444453710733302)	(62, 3.445425872245356)	(64, 3.4463756668532706)	(66, 3.4474420888899115)	(68, 3.452259760277912)	(70, 3.4539548520844674)	(72, 3.4548375459799643)	(74, 3.4557386126895753)	(76, 3.456784265458087)	(78, 3.4578578768567727)	(80, 3.4590433227761546)	(82, 3.460529124265407)	(84, 3.461786463805237)	(86, 3.4640423258512847)	(88, 3.4685204995871706)	(90, 3.4735218991163155)	(92, 3.4821603170221085)	(94, 3.5809621219673673)	(96, 3.7665778700572337)	(98, 3.9000507728723965)	(100, 4.0491940884911415)	(102, 4.477354148613379)	(104, 5.86887034992063)	(106, 8.413701613995801)	(108, 11.27973440259916)	(110, 13.887559655728612)	(112, 16.789222123807843)	(114, 19.868417899402612)	(116, 22.92960432307523)	(118, 25.841545981242476)	(120, 28.531779696219097)	(122, 31.175599688652696)	(124, 33.77981268676365)	(126, 36.29372170586626)	(128, 38.65719572063609)	(130, 40.831078270105294)	(132, 43.00947174484858)	(134, 45.09568401827185)	(136, 47.074917785650925)	(138, 48.93745862122734)
KI3-ATAC_R1_001 - nextera_transposase_sequence	(1, 0.0015633225636995797)	(2, 0.001570370907088667)	(3, 0.0015788289191555718)	(4, 0.0016112512987453737)	(5, 0.0016197093108122787)	(6, 0.001626757654201366)	(7, 0.0016338059975904533)	(8, 0.0016380350036239058)	(9, 0.0017226151242929542)	(10, 0.0018917753656310513)	(12, 0.001972126480266647)	(14, 0.002173709101194546)	(16, 0.002396436752289707)	(18, 0.003266907160841998)	(20, 0.006407648975019332)	(22, 0.010847400475805468)	(24, 0.015275874627169067)	(26, 0.053229089274387846)	(28, 0.20985455672933184)	(30, 0.3632927633037305)	(32, 0.4624939674991019)	(34, 0.7049097561830007)	(36, 1.59617207289876)	(38, 3.6323531930510944)	(40, 6.24122419575054)	(42, 8.739885186715199)	(44, 11.29225525913904)	(46, 14.136293534181046)	(48, 17.100990285197824)	(50, 20.014141796175863)	(52, 22.63801660744766)	(54, 25.10816211556309)	(56, 27.570799023466122)	(58, 30.024325242704418)	(60, 32.36502580997624)	(62, 34.47045478942334)	(64, 36.48523995838376)	(66, 38.45776044104586)	(68, 40.34279265655657)	(70, 42.15516772907522)	(72, 43.837300693112944)	(74, 45.42356984355004)	(76, 46.94494630607248)	(78, 48.39697905183006)	(80, 49.775444713464054)	(82, 51.062828862486896)	(84, 52.28450060125893)	(86, 53.4715875286894)	(88, 54.5777242322962)	(90, 55.61696369912849)	(92, 56.59733046813476)	(94, 57.54608330253795)	(96, 58.466532809227914)	(98, 59.31853514843212)	(100, 60.117602314281264)	(102, 60.876815327271146)	(104, 61.61186168528287)	(106, 62.33396376066053)	(108, 63.010827453664014)	(110, 63.635742741386906)	(112, 64.22873608190062)	(114, 64.80809863113419)	(116, 65.38071239157269)	(118, 65.92619143963189)	(120, 66.43082674742001)	(122, 66.90361693494188)	(124, 67.36418106602105)	(126, 67.82242911146257)	(128, 68.2654569641897)	(130, 68.69281212055684)	(132, 69.11207930288501)	(134, 69.50439432492765)	(136, 69.88534318842103)	(138, 70.25823156641468)
KI3-ATAC_R1_001 - polya	(1, 3.242237958980192e-05)	(2, 7.894144595777859e-05)	(3, 0.00011418316290321547)	(4, 0.00029321108498603474)	(5, 0.0006935569894861976)	(6, 0.001822701600417995)	(7, 0.0022103604868178007)	(8, 0.002944797867960705)	(9, 0.00335501145320559)	(10, 0.007568511131202022)	(12, 0.0163838742079336)	(14, 0.027809238841644233)	(16, 0.05808257853211342)	(18, 0.10804405581132036)	(20, 0.12858645261881552)	(22, 0.14797221627616142)	(24, 0.169337859591502)	(26, 0.1991058330609736)	(28, 0.22511140082935038)	(30, 0.24817499006712207)	(32, 0.26885060056467097)	(34, 0.2904467247088347)	(36, 0.33894989974083944)	(38, 0.36645958398844747)	(40, 0.3915664879747156)	(42, 0.4159777204684808)	(44, 0.43734124928080464)	(46, 0.4545201766230273)	(48, 0.46871342570563257)	(50, 0.4856809027461826)	(52, 0.49904808598358685)	(54, 0.5124131547179742)	(56, 0.5311095903918674)	(58, 0.5431862219547298)	(60, 0.5523081879688867)	(62, 0.5619855634421036)	(64, 0.5706451581299363)	(66, 0.5842280206750466)	(68, 0.5966634129164134)	(70, 0.6040204737459429)	(72, 0.613425783164341)	(74, 0.6216469708933725)	(76, 0.628008100802024)	(78, 0.6347160092054185)	(80, 0.6433988634264352)	(82, 0.6509518682021812)	(84, 0.6568442832754582)	(86, 0.6652113717126438)	(88, 0.6715809596333621)	(90, 0.676987743847131)	(92, 0.6831064107431978)	(94, 0.6893019045822055)	(96, 0.6951745842939931)	(98, 0.7026500572924592)	(100, 0.7099535507122317)	(102, 0.7153539914169503)	(104, 0.7222500905888334)	(106, 0.7276329104350794)	(108, 0.7329248066516063)	(110, 0.7392901655662911)	(112, 0.7480590095766546)	(114, 0.7552476149991849)	(116, 0.7609906051926132)	(118, 0.7663536896773698)	(120, 0.7721114813919153)	(122, 0.7788743668737447)	(124, 0.7842148966596562)	(126, 0.7939500685486637)	(128, 0.8032806655271375)	(130, 0.8096375664297554)	(132, 0.8145185442266984)	(134, 0.8198026872654972)	(136, 0.8251932602894712)	(138, 0.8311815328328398)
KI3-ATAC_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 6.343509050178637e-05)	(4, 0.00017761825340500184)	(5, 0.0007132923509756422)	(6, 0.0010783965385303682)	(7, 0.00126729214135791)	(8, 0.0014716940996414437)	(9, 0.001621118979490096)	(10, 0.002039790576801886)	(12, 0.0025282407736656413)	(14, 0.0030618003682195555)	(16, 0.0035770342699618426)	(18, 0.00405843612343651)	(20, 0.0045497056576559)	(22, 0.00504097519187529)	(24, 0.005562552602667756)	(26, 0.006292760977777208)	(28, 0.006931340888828524)	(30, 0.007677760453732876)	(32, 0.008427704190331772)	(34, 0.009094477474939439)	(36, 0.009941688350307742)	(38, 0.01062890183074376)	(40, 0.011485980386856786)	(42, 0.012242267632505861)	(44, 0.013041549772828369)	(46, 0.014103735121563835)	(48, 0.015200457352905832)	(50, 0.016129429011587548)	(52, 0.01704994265820236)	(54, 0.017921117901093558)	(56, 0.01895229053891704)	(58, 0.019965842318267805)	(60, 0.021082299911099243)	(62, 0.02220087200694741)	(64, 0.023472393154338772)	(66, 0.02566654245136167)	(68, 0.02844077040930646)	(70, 0.03095350482751611)	(72, 0.04219913670480502)	(74, 0.08354471902519156)	(76, 0.13314109211684377)	(78, 0.18359665826762572)	(80, 0.3418178706658591)	(82, 0.9801116189755783)	(84, 2.4845495026653666)	(86, 4.492220778643182)	(88, 6.505959973444661)	(90, 8.645595973027682)	(92, 11.075181789110605)	(94, 13.670062535017053)	(96, 16.262548253839885)	(98, 18.664472846292334)	(100, 21.000797801988213)	(102, 23.35438556031264)	(104, 25.663039424697295)	(106, 27.639168659174608)	(108, 28.949096229693104)	(110, 29.73635953486854)	(112, 30.26385825894218)	(114, 30.658328664393203)	(116, 30.981178033330348)	(118, 31.248525927084465)	(120, 31.481936752254466)	(122, 31.78439526376698)	(124, 32.114672881801894)	(126, 32.43800012842082)	(128, 32.80144584077609)	(130, 33.27025441911748)	(132, 33.97423802297915)	(134, 35.06658323307652)	(136, 36.51307598093028)	(138, 38.169598789263766)
KI3-ATAC_R2_001 - nextera_transposase_sequence	(1, 0.001513984159975968)	(2, 0.0015210325033650554)	(3, 0.0015323098527875952)	(4, 0.0015619128950217622)	(5, 0.0015647322323773972)	(6, 0.0015689612384108494)	(7, 0.0015816482565112068)	(8, 0.001588696599900294)	(9, 0.0016718670518915252)	(10, 0.001843846630585257)	(12, 0.0019192639048484922)	(14, 0.002142696390282562)	(16, 0.0023555563606330004)	(18, 0.003248581468030371)	(20, 0.006359720239973538)	(22, 0.010764230023814238)	(24, 0.015176492985382935)	(26, 0.052841430387988046)	(28, 0.20856330022045105)	(30, 0.36118319412737665)	(32, 0.4596309304144546)	(34, 0.7000118623619238)	(36, 1.5852295197872022)	(38, 3.6097322397781575)	(40, 6.2041548433643126)	(42, 8.690104147026751)	(44, 11.230059267405057)	(46, 14.059291792323945)	(48, 17.010409909801645)	(50, 19.908673205038916)	(52, 22.522547121875938)	(54, 24.981442064273704)	(56, 27.433215360511134)	(58, 29.877115657182955)	(60, 32.21070162663783)	(62, 34.31126442980911)	(64, 36.323529111173585)	(66, 38.294654726678985)	(68, 40.17810599876753)	(70, 41.99073199231082)	(72, 43.673575429362174)	(74, 45.26280981786306)	(76, 46.78866479777493)	(78, 48.243112305977604)	(80, 49.623092656605905)	(82, 50.908564590067286)	(84, 52.12523552920477)	(86, 53.30521913616772)	(88, 54.40490872007652)	(90, 55.43731693249611)	(92, 56.41074319776714)	(94, 57.35272257417341)	(96, 58.26664249554774)	(98, 59.11324439404723)	(100, 59.90760538101547)	(102, 60.661999441630236)	(104, 61.39180324182915)	(106, 62.10876073136713)	(108, 62.780777983456275)	(110, 63.40020825035377)	(112, 63.98734441751116)	(114, 64.56007518044993)	(116, 65.12564553133973)	(118, 65.66528502690106)	(120, 66.16679862340214)	(122, 66.63761879894679)	(124, 67.09486738929573)	(126, 67.54913100621938)	(128, 67.98764862401183)	(130, 68.41199554742052)	(132, 68.82812410243753)	(134, 69.21722860406643)	(136, 69.59637238681788)	(138, 69.96789550069704)
