Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
KO3-ATAC_R1_001	(15.0, 3.0)	(16.0, 65.0)	(17.0, 1335.0)	(18.0, 18242.0)	(19.0, 82963.0)	(20.0, 167429.0)	(21.0, 174285.0)	(22.0, 161623.0)	(23.0, 163945.0)	(24.0, 190082.0)	(25.0, 215226.0)	(26.0, 259743.0)	(27.0, 299824.0)	(28.0, 372262.0)	(29.0, 444171.0)	(30.0, 575454.0)	(31.0, 746597.0)	(32.0, 1081773.0)	(33.0, 1513239.0)	(34.0, 2723197.0)	(35.0, 5092470.0)	(36.0, 8296319.0)	(37.0, 8933936.0)	(38.0, 7132354.0)	(39.0, 15047692.0)	(40.0, 4814871.0)													
KO3-ATAC_R2_001	(2.0, 1011.0)	(3.0, 769.0)	(4.0, 849.0)	(5.0, 672.0)	(6.0, 671.0)	(7.0, 644.0)	(8.0, 618.0)	(9.0, 572.0)	(10.0, 588.0)	(11.0, 533.0)	(12.0, 654.0)	(13.0, 772.0)	(14.0, 2056.0)	(15.0, 9004.0)	(16.0, 31802.0)	(17.0, 75242.0)	(18.0, 146455.0)	(19.0, 208563.0)	(20.0, 240663.0)	(21.0, 214818.0)	(22.0, 198490.0)	(23.0, 193753.0)	(24.0, 207337.0)	(25.0, 215224.0)	(26.0, 235511.0)	(27.0, 244782.0)	(28.0, 270441.0)	(29.0, 287377.0)	(30.0, 328460.0)	(31.0, 361955.0)	(32.0, 429209.0)	(33.0, 497053.0)	(34.0, 633141.0)	(35.0, 813341.0)	(36.0, 1191032.0)	(37.0, 1863351.0)	(38.0, 4405453.0)	(39.0, 34474429.0)	(40.0, 10721805.0)
PAZ1-ATAC_R1_001	(15.0, 2.0)	(16.0, 79.0)	(17.0, 1759.0)	(18.0, 22654.0)	(19.0, 102113.0)	(20.0, 209001.0)	(21.0, 217928.0)	(22.0, 193316.0)	(23.0, 188783.0)	(24.0, 220785.0)	(25.0, 251425.0)	(26.0, 308028.0)	(27.0, 360282.0)	(28.0, 452947.0)	(29.0, 541998.0)	(30.0, 694117.0)	(31.0, 875447.0)	(32.0, 1258063.0)	(33.0, 1703771.0)	(34.0, 2875374.0)	(35.0, 5757590.0)	(36.0, 10767816.0)	(37.0, 12920604.0)	(38.0, 11419501.0)	(39.0, 15901023.0)	(40.0, 4728710.0)													
PAZ1-ATAC_R2_001	(2.0, 1345.0)	(3.0, 1086.0)	(4.0, 1030.0)	(5.0, 864.0)	(6.0, 843.0)	(7.0, 812.0)	(8.0, 795.0)	(9.0, 742.0)	(10.0, 730.0)	(11.0, 779.0)	(12.0, 785.0)	(13.0, 963.0)	(14.0, 2551.0)	(15.0, 10814.0)	(16.0, 38094.0)	(17.0, 90574.0)	(18.0, 180049.0)	(19.0, 262479.0)	(20.0, 304821.0)	(21.0, 270018.0)	(22.0, 246929.0)	(23.0, 235498.0)	(24.0, 251101.0)	(25.0, 258944.0)	(26.0, 283324.0)	(27.0, 295507.0)	(28.0, 327073.0)	(29.0, 345925.0)	(30.0, 396353.0)	(31.0, 436476.0)	(32.0, 520884.0)	(33.0, 604219.0)	(34.0, 770823.0)	(35.0, 994534.0)	(36.0, 1468606.0)	(37.0, 2334696.0)	(38.0, 5787610.0)	(39.0, 44650594.0)	(40.0, 10593846.0)
PAZ2-ATAC_R1_001	(15.0, 3.0)	(16.0, 51.0)	(17.0, 959.0)	(18.0, 12543.0)	(19.0, 59965.0)	(20.0, 126828.0)	(21.0, 141227.0)	(22.0, 142750.0)	(23.0, 152708.0)	(24.0, 185157.0)	(25.0, 216637.0)	(26.0, 267112.0)	(27.0, 319118.0)	(28.0, 408943.0)	(29.0, 507844.0)	(30.0, 682782.0)	(31.0, 886544.0)	(32.0, 1260552.0)	(33.0, 1854292.0)	(34.0, 3442368.0)	(35.0, 5984365.0)	(36.0, 9038130.0)	(37.0, 8836214.0)	(38.0, 8166575.0)	(39.0, 14431847.0)	(40.0, 2470972.0)													
PAZ2-ATAC_R2_001	(2.0, 759.0)	(3.0, 648.0)	(4.0, 679.0)	(5.0, 553.0)	(6.0, 524.0)	(7.0, 509.0)	(8.0, 476.0)	(9.0, 433.0)	(10.0, 434.0)	(11.0, 472.0)	(12.0, 527.0)	(13.0, 651.0)	(14.0, 1289.0)	(15.0, 4743.0)	(16.0, 15880.0)	(17.0, 35968.0)	(18.0, 67504.0)	(19.0, 98204.0)	(20.0, 120367.0)	(21.0, 112681.0)	(22.0, 108030.0)	(23.0, 107627.0)	(24.0, 120642.0)	(25.0, 128569.0)	(26.0, 142471.0)	(27.0, 149890.0)	(28.0, 164759.0)	(29.0, 175869.0)	(30.0, 201862.0)	(31.0, 225812.0)	(32.0, 272833.0)	(33.0, 324124.0)	(34.0, 429452.0)	(35.0, 581420.0)	(36.0, 914786.0)	(37.0, 1575853.0)	(38.0, 4363551.0)	(39.0, 38031934.0)	(40.0, 11113701.0)
PAZ3-ATAC_R1_001	(16.0, 49.0)	(17.0, 1949.0)	(18.0, 27481.0)	(19.0, 126395.0)	(20.0, 258820.0)	(21.0, 264324.0)	(22.0, 236899.0)	(23.0, 237385.0)	(24.0, 276261.0)	(25.0, 319652.0)	(26.0, 396532.0)	(27.0, 488283.0)	(28.0, 643889.0)	(29.0, 829687.0)	(30.0, 1176643.0)	(31.0, 1787643.0)	(32.0, 3643263.0)	(33.0, 8347485.0)	(34.0, 13918523.0)	(35.0, 10662220.0)	(36.0, 6537653.0)	(37.0, 3654130.0)	(38.0, 4050490.0)	(39.0, 9695744.0)	(40.0, 3233935.0)														
PAZ3-ATAC_R2_001	(2.0, 1278.0)	(3.0, 1039.0)	(4.0, 1053.0)	(5.0, 911.0)	(6.0, 901.0)	(7.0, 788.0)	(8.0, 846.0)	(9.0, 752.0)	(10.0, 763.0)	(11.0, 776.0)	(12.0, 838.0)	(13.0, 916.0)	(14.0, 1373.0)	(15.0, 5206.0)	(16.0, 20999.0)	(17.0, 61792.0)	(18.0, 144839.0)	(19.0, 226596.0)	(20.0, 265632.0)	(21.0, 233858.0)	(22.0, 209435.0)	(23.0, 194734.0)	(24.0, 205791.0)	(25.0, 210147.0)	(26.0, 230471.0)	(27.0, 241585.0)	(28.0, 269098.0)	(29.0, 289872.0)	(30.0, 332348.0)	(31.0, 369329.0)	(32.0, 442450.0)	(33.0, 515987.0)	(34.0, 662709.0)	(35.0, 859928.0)	(36.0, 1281562.0)	(37.0, 2067585.0)	(38.0, 5216030.0)	(39.0, 47365338.0)	(40.0, 8879780.0)
WT1-ATAC_R1_001	(15.0, 2.0)	(16.0, 40.0)	(17.0, 1047.0)	(18.0, 14982.0)	(19.0, 69791.0)	(20.0, 143290.0)	(21.0, 150571.0)	(22.0, 137851.0)	(23.0, 139152.0)	(24.0, 162796.0)	(25.0, 187075.0)	(26.0, 226199.0)	(27.0, 264714.0)	(28.0, 333230.0)	(29.0, 405964.0)	(30.0, 536851.0)	(31.0, 766253.0)	(32.0, 1447931.0)	(33.0, 2026194.0)	(34.0, 2653209.0)	(35.0, 4551477.0)	(36.0, 7964651.0)	(37.0, 9253905.0)	(38.0, 7422148.0)	(39.0, 12738690.0)	(40.0, 3558179.0)													
WT1-ATAC_R2_001	(2.0, 856.0)	(3.0, 665.0)	(4.0, 716.0)	(5.0, 607.0)	(6.0, 563.0)	(7.0, 564.0)	(8.0, 552.0)	(9.0, 486.0)	(10.0, 492.0)	(11.0, 520.0)	(12.0, 575.0)	(13.0, 638.0)	(14.0, 1357.0)	(15.0, 5446.0)	(16.0, 19385.0)	(17.0, 48973.0)	(18.0, 103098.0)	(19.0, 155607.0)	(20.0, 182418.0)	(21.0, 161671.0)	(22.0, 149001.0)	(23.0, 145473.0)	(24.0, 157292.0)	(25.0, 164027.0)	(26.0, 180459.0)	(27.0, 189796.0)	(28.0, 211232.0)	(29.0, 225584.0)	(30.0, 257764.0)	(31.0, 286300.0)	(32.0, 343050.0)	(33.0, 402559.0)	(34.0, 518737.0)	(35.0, 679575.0)	(36.0, 1021999.0)	(37.0, 1671334.0)	(38.0, 4278325.0)	(39.0, 34986568.0)	(40.0, 8601928.0)
WT2-ATAC_R1_001	(15.0, 5.0)	(16.0, 60.0)	(17.0, 1746.0)	(18.0, 25277.0)	(19.0, 119749.0)	(20.0, 242400.0)	(21.0, 246119.0)	(22.0, 219771.0)	(23.0, 223856.0)	(24.0, 264653.0)	(25.0, 305350.0)	(26.0, 375173.0)	(27.0, 449030.0)	(28.0, 575576.0)	(29.0, 721316.0)	(30.0, 990639.0)	(31.0, 1389723.0)	(32.0, 2275427.0)	(33.0, 4092374.0)	(34.0, 7933197.0)	(35.0, 10956577.0)	(36.0, 12209359.0)	(37.0, 7312208.0)	(38.0, 7735331.0)	(39.0, 19485853.0)	(40.0, 5494972.0)													
WT2-ATAC_R2_001	(2.0, 1268.0)	(3.0, 1029.0)	(4.0, 1046.0)	(5.0, 920.0)	(6.0, 890.0)	(7.0, 829.0)	(8.0, 844.0)	(9.0, 707.0)	(10.0, 769.0)	(11.0, 801.0)	(12.0, 896.0)	(13.0, 1050.0)	(14.0, 3485.0)	(15.0, 16135.0)	(16.0, 53194.0)	(17.0, 116335.0)	(18.0, 208050.0)	(19.0, 280404.0)	(20.0, 317359.0)	(21.0, 284691.0)	(22.0, 263439.0)	(23.0, 253965.0)	(24.0, 271655.0)	(25.0, 280277.0)	(26.0, 307444.0)	(27.0, 319173.0)	(28.0, 351382.0)	(29.0, 374228.0)	(30.0, 425420.0)	(31.0, 467573.0)	(32.0, 555497.0)	(33.0, 645277.0)	(34.0, 823140.0)	(35.0, 1063319.0)	(36.0, 1571063.0)	(37.0, 2497145.0)	(38.0, 6025646.0)	(39.0, 50991393.0)	(40.0, 14868003.0)
WT3-ATAC_R1_001	(15.0, 1.0)	(16.0, 44.0)	(17.0, 1175.0)	(18.0, 15501.0)	(19.0, 71483.0)	(20.0, 147599.0)	(21.0, 154838.0)	(22.0, 139612.0)	(23.0, 139397.0)	(24.0, 164761.0)	(25.0, 190955.0)	(26.0, 235894.0)	(27.0, 283607.0)	(28.0, 362979.0)	(29.0, 449428.0)	(30.0, 600147.0)	(31.0, 821785.0)	(32.0, 1259827.0)	(33.0, 1870604.0)	(34.0, 3383992.0)	(35.0, 6180892.0)	(36.0, 10100744.0)	(37.0, 10163196.0)	(38.0, 7409248.0)	(39.0, 15383364.0)	(40.0, 6093121.0)													
WT3-ATAC_R2_001	(2.0, 1150.0)	(3.0, 915.0)	(4.0, 978.0)	(5.0, 837.0)	(6.0, 755.0)	(7.0, 772.0)	(8.0, 743.0)	(9.0, 771.0)	(10.0, 636.0)	(11.0, 744.0)	(12.0, 739.0)	(13.0, 929.0)	(14.0, 2694.0)	(15.0, 11358.0)	(16.0, 38775.0)	(17.0, 88082.0)	(18.0, 164241.0)	(19.0, 229163.0)	(20.0, 262009.0)	(21.0, 235633.0)	(22.0, 220796.0)	(23.0, 214467.0)	(24.0, 229256.0)	(25.0, 236190.0)	(26.0, 259076.0)	(27.0, 268488.0)	(28.0, 297020.0)	(29.0, 316324.0)	(30.0, 360619.0)	(31.0, 399051.0)	(32.0, 472210.0)	(33.0, 548606.0)	(34.0, 693729.0)	(35.0, 890539.0)	(36.0, 1302910.0)	(37.0, 2052950.0)	(38.0, 4951946.0)	(39.0, 39816799.0)	(40.0, 11051294.0)
