Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
KI2-ATAC_R1_001	(15.0, 2.0)	(16.0, 37.0)	(17.0, 1041.0)	(18.0, 13498.0)	(19.0, 63254.0)	(20.0, 132356.0)	(21.0, 136366.0)	(22.0, 124865.0)	(23.0, 129197.0)	(24.0, 154915.0)	(25.0, 182882.0)	(26.0, 228103.0)	(27.0, 276646.0)	(28.0, 364746.0)	(29.0, 469962.0)	(30.0, 670702.0)	(31.0, 1019795.0)	(32.0, 1860761.0)	(33.0, 3476924.0)	(34.0, 6547467.0)	(35.0, 9112436.0)	(36.0, 9727295.0)	(37.0, 4998066.0)	(38.0, 5109745.0)	(39.0, 12485247.0)	(40.0, 5306172.0)													
KI2-ATAC_R2_001	(2.0, 1086.0)	(3.0, 940.0)	(4.0, 1017.0)	(5.0, 845.0)	(6.0, 788.0)	(7.0, 811.0)	(8.0, 787.0)	(9.0, 708.0)	(10.0, 710.0)	(11.0, 749.0)	(12.0, 755.0)	(13.0, 946.0)	(14.0, 2206.0)	(15.0, 9468.0)	(16.0, 32641.0)	(17.0, 74769.0)	(18.0, 136587.0)	(19.0, 187296.0)	(20.0, 217059.0)	(21.0, 200940.0)	(22.0, 190984.0)	(23.0, 186675.0)	(24.0, 202317.0)	(25.0, 211550.0)	(26.0, 229533.0)	(27.0, 239639.0)	(28.0, 263898.0)	(29.0, 278628.0)	(30.0, 316023.0)	(31.0, 348269.0)	(32.0, 412367.0)	(33.0, 478436.0)	(34.0, 609204.0)	(35.0, 785460.0)	(36.0, 1159891.0)	(37.0, 1850967.0)	(38.0, 4609317.0)	(39.0, 39523518.0)	(40.0, 9824696.0)
KI3-ATAC_R1_001	(15.0, 1.0)	(16.0, 47.0)	(17.0, 1662.0)	(18.0, 22375.0)	(19.0, 103108.0)	(20.0, 211064.0)	(21.0, 218069.0)	(22.0, 190973.0)	(23.0, 188562.0)	(24.0, 219903.0)	(25.0, 251081.0)	(26.0, 306227.0)	(27.0, 359699.0)	(28.0, 452032.0)	(29.0, 547717.0)	(30.0, 707753.0)	(31.0, 912682.0)	(32.0, 1332466.0)	(33.0, 1822796.0)	(34.0, 3237072.0)	(35.0, 6287836.0)	(36.0, 11048939.0)	(37.0, 12808445.0)	(38.0, 9129195.0)	(39.0, 15558485.0)	(40.0, 5020466.0)													
KI3-ATAC_R2_001	(2.0, 1216.0)	(3.0, 995.0)	(4.0, 1006.0)	(5.0, 847.0)	(6.0, 813.0)	(7.0, 786.0)	(8.0, 764.0)	(9.0, 662.0)	(10.0, 672.0)	(11.0, 716.0)	(12.0, 795.0)	(13.0, 871.0)	(14.0, 1981.0)	(15.0, 8093.0)	(16.0, 29356.0)	(17.0, 75447.0)	(18.0, 161898.0)	(19.0, 246985.0)	(20.0, 287989.0)	(21.0, 253777.0)	(22.0, 230237.0)	(23.0, 220538.0)	(24.0, 237501.0)	(25.0, 246590.0)	(26.0, 269573.0)	(27.0, 281357.0)	(28.0, 312421.0)	(29.0, 332874.0)	(30.0, 380392.0)	(31.0, 420634.0)	(32.0, 499448.0)	(33.0, 583212.0)	(34.0, 743365.0)	(35.0, 961489.0)	(36.0, 1411707.0)	(37.0, 2242151.0)	(38.0, 5462857.0)	(39.0, 43531873.0)	(40.0, 11494767.0)
KI4-ATAC_R1_001	(15.0, 6.0)	(16.0, 255.0)	(17.0, 7560.0)	(18.0, 114648.0)	(19.0, 578655.0)	(20.0, 1168429.0)	(21.0, 1024740.0)	(22.0, 729699.0)	(23.0, 646296.0)	(24.0, 739173.0)	(25.0, 842761.0)	(26.0, 1039972.0)	(27.0, 1248806.0)	(28.0, 1627913.0)	(29.0, 2071984.0)	(30.0, 2893191.0)	(31.0, 4227645.0)	(32.0, 7856949.0)	(33.0, 17859550.0)	(34.0, 32219772.0)	(35.0, 28841596.0)	(36.0, 20539256.0)	(37.0, 13564699.0)	(38.0, 14923483.0)	(39.0, 46711595.0)	(40.0, 15012669.0)													
KI4-ATAC_R2_001	(2.0, 3723.0)	(3.0, 2935.0)	(4.0, 2924.0)	(5.0, 2437.0)	(6.0, 2268.0)	(7.0, 2300.0)	(8.0, 2226.0)	(9.0, 2100.0)	(10.0, 2082.0)	(11.0, 2153.0)	(12.0, 2265.0)	(13.0, 2773.0)	(14.0, 7452.0)	(15.0, 36104.0)	(16.0, 125368.0)	(17.0, 300188.0)	(18.0, 615156.0)	(19.0, 933352.0)	(20.0, 1109409.0)	(21.0, 942675.0)	(22.0, 759462.0)	(23.0, 662367.0)	(24.0, 682459.0)	(25.0, 696960.0)	(26.0, 758860.0)	(27.0, 791576.0)	(28.0, 873207.0)	(29.0, 927334.0)	(30.0, 1055835.0)	(31.0, 1164579.0)	(32.0, 1384307.0)	(33.0, 1608506.0)	(34.0, 2060808.0)	(35.0, 2672932.0)	(36.0, 3984561.0)	(37.0, 6380419.0)	(38.0, 15847920.0)	(39.0, 131983676.0)	(40.0, 38095644.0)
KO1-ATAC_R1_001	(15.0, 2.0)	(16.0, 51.0)	(17.0, 1588.0)	(18.0, 23525.0)	(19.0, 108508.0)	(20.0, 222513.0)	(21.0, 233301.0)	(22.0, 214916.0)	(23.0, 218741.0)	(24.0, 258862.0)	(25.0, 297877.0)	(26.0, 365175.0)	(27.0, 434973.0)	(28.0, 552668.0)	(29.0, 674533.0)	(30.0, 884163.0)	(31.0, 1171380.0)	(32.0, 1744845.0)	(33.0, 2564448.0)	(34.0, 4942017.0)	(35.0, 9208145.0)	(36.0, 13652422.0)	(37.0, 11890331.0)	(38.0, 8113964.0)	(39.0, 12469017.0)	(40.0, 3916331.0)													
KO1-ATAC_R2_001	(2.0, 1273.0)	(3.0, 1164.0)	(4.0, 1048.0)	(5.0, 863.0)	(6.0, 820.0)	(7.0, 854.0)	(8.0, 792.0)	(9.0, 773.0)	(10.0, 750.0)	(11.0, 709.0)	(12.0, 766.0)	(13.0, 853.0)	(14.0, 1504.0)	(15.0, 5406.0)	(16.0, 20009.0)	(17.0, 56391.0)	(18.0, 133113.0)	(19.0, 212135.0)	(20.0, 250194.0)	(21.0, 220242.0)	(22.0, 200343.0)	(23.0, 189587.0)	(24.0, 203632.0)	(25.0, 211618.0)	(26.0, 231820.0)	(27.0, 244559.0)	(28.0, 274660.0)	(29.0, 294645.0)	(30.0, 339587.0)	(31.0, 378734.0)	(32.0, 454169.0)	(33.0, 534035.0)	(34.0, 685771.0)	(35.0, 895839.0)	(36.0, 1339554.0)	(37.0, 2167177.0)	(38.0, 5537199.0)	(39.0, 48519599.0)	(40.0, 10552109.0)
KO2-ATAC_R1_001	(15.0, 4.0)	(16.0, 41.0)	(17.0, 1399.0)	(18.0, 19200.0)	(19.0, 88052.0)	(20.0, 181090.0)	(21.0, 191664.0)	(22.0, 181161.0)	(23.0, 184824.0)	(24.0, 215514.0)	(25.0, 244150.0)	(26.0, 296963.0)	(27.0, 350055.0)	(28.0, 443836.0)	(29.0, 547960.0)	(30.0, 738922.0)	(31.0, 1037059.0)	(32.0, 1668259.0)	(33.0, 2707216.0)	(34.0, 4955935.0)	(35.0, 7702801.0)	(36.0, 10286402.0)	(37.0, 6830881.0)	(38.0, 5454188.0)	(39.0, 14493908.0)	(40.0, 5388632.0)													
KO2-ATAC_R2_001	(2.0, 1250.0)	(3.0, 1007.0)	(4.0, 1024.0)	(5.0, 813.0)	(6.0, 801.0)	(7.0, 818.0)	(8.0, 762.0)	(9.0, 709.0)	(10.0, 680.0)	(11.0, 782.0)	(12.0, 759.0)	(13.0, 906.0)	(14.0, 2372.0)	(15.0, 11102.0)	(16.0, 38759.0)	(17.0, 90300.0)	(18.0, 171230.0)	(19.0, 239341.0)	(20.0, 272176.0)	(21.0, 243980.0)	(22.0, 228997.0)	(23.0, 221184.0)	(24.0, 237708.0)	(25.0, 243487.0)	(26.0, 264491.0)	(27.0, 274941.0)	(28.0, 302948.0)	(29.0, 320416.0)	(30.0, 363784.0)	(31.0, 399827.0)	(32.0, 474441.0)	(33.0, 547807.0)	(34.0, 695906.0)	(35.0, 892783.0)	(36.0, 1313818.0)	(37.0, 2063939.0)	(38.0, 4964723.0)	(39.0, 38905002.0)	(40.0, 10414343.0)
